lang	pool	kind	meta	value
sa	outcome.success.easy.pool	COUNT	17	17
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	1	"You’ve made it.
The truth remains."
sa	outcome.success.easy.pool	ENGLISH_LIKE	1	"You’ve made it.
The truth remains."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	2	"Even if it was only a small step,
you held your ground."
sa	outcome.success.easy.pool	ENGLISH_LIKE	2	"Even if it was only a small step,
you held your ground."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	3	"You listened.
 The path opened."
sa	outcome.success.easy.pool	ENGLISH_LIKE	3	"You listened.
 The path opened."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
sa	outcome.success.easy.pool	ENGLISH_LIKE	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	5	"> Distance became meaning.
> 
> and time answered your footsteps."
sa	outcome.success.easy.pool	ENGLISH_LIKE	5	"> Distance became meaning.
> 
> and time answered your footsteps."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	6	"> Not everything shines forever.
> 
> But this moment did."
sa	outcome.success.easy.pool	ENGLISH_LIKE	6	"> Not everything shines forever.
> 
> But this moment did."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	7	"Light fell evenly, ,
and every shadow vanished."
sa	outcome.success.easy.pool	ENGLISH_LIKE	7	"Light fell evenly, ,
and every shadow vanished."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	8	"The wind fell silent.
and everything returned to where it belonged."
sa	outcome.success.easy.pool	ENGLISH_LIKE	8	"The wind fell silent.
and everything returned to where it belonged."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	9	"A moment of silence.
The world steadied its breath."
sa	outcome.success.easy.pool	ENGLISH_LIKE	9	"A moment of silence.
The world steadied its breath."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	10	"The record is etched deep in the sand—
beyond the reach of the wind."
sa	outcome.success.easy.pool	ENGLISH_LIKE	10	"The record is etched deep in the sand—
beyond the reach of the wind."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	11	"Harmony was restored.
Everything had been for this moment."
sa	outcome.success.easy.pool	ENGLISH_LIKE	11	"Harmony was restored.
Everything had been for this moment."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	12	"Time slipped by in silence,
tucked away in the corners of memory."
sa	outcome.success.easy.pool	ENGLISH_LIKE	12	"Time slipped by in silence,
tucked away in the corners of memory."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	13	"The sky shifted in color,
and one story came to its end."
sa	outcome.success.easy.pool	ENGLISH_LIKE	13	"The sky shifted in color,
and one story came to its end."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	14	"The waves grew calm,
and the sea hid its depths once more."
sa	outcome.success.easy.pool	ENGLISH_LIKE	14	"The waves grew calm,
and the sea hid its depths once more."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	15	"The footsteps stopped,
and only the place remained."
sa	outcome.success.easy.pool	ENGLISH_LIKE	15	"The footsteps stopped,
and only the place remained."
sa	outcome.success.easy.pool	DEVANAGARI_MISSING	16	"Victory and defeat 
are nothing more than grains of sand."
