lang	pool	index	status	en_reference	current_value	native_translation	note
is	outcome.success.easy.pool	1	EXACT_EN,ENGLISH_LIKE	"You’ve made it.
The truth remains."	"You’ve made it.
The truth remains."		fill_native_translation_only
is	outcome.success.easy.pool	2	EXACT_EN,ENGLISH_LIKE	"Even if it was only a small step,
you held your ground."	"Even if it was only a small step,
you held your ground."		fill_native_translation_only
is	outcome.success.easy.pool	3	EXACT_EN,ENGLISH_LIKE	"You listened.
 The path opened."	"You listened.
 The path opened."		fill_native_translation_only
is	outcome.success.easy.pool	4	EXACT_EN,ENGLISH_LIKE	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."		fill_native_translation_only
is	outcome.success.easy.pool	5	EXACT_EN,ENGLISH_LIKE	"> Distance became meaning.
> 
> and time answered your footsteps."	"> Distance became meaning.
> 
> and time answered your footsteps."		fill_native_translation_only
is	outcome.success.easy.pool	6	EXACT_EN,ENGLISH_LIKE	"> Not everything shines forever.
> 
> But this moment did."	"> Not everything shines forever.
> 
> But this moment did."		fill_native_translation_only
is	outcome.success.easy.pool	7	EXACT_EN,ENGLISH_LIKE	"Light fell evenly, ,
and every shadow vanished."	"Light fell evenly, ,
and every shadow vanished."		fill_native_translation_only
is	outcome.success.easy.pool	8	EXACT_EN,ENGLISH_LIKE	"The wind fell silent.
and everything returned to where it belonged."	"The wind fell silent.
and everything returned to where it belonged."		fill_native_translation_only
is	outcome.success.easy.pool	9	EXACT_EN,ENGLISH_LIKE	"A moment of silence.
The world steadied its breath."	"A moment of silence.
The world steadied its breath."		fill_native_translation_only
is	outcome.success.easy.pool	10	EXACT_EN,ENGLISH_LIKE	"The record is etched deep in the sand—
beyond the reach of the wind."	"The record is etched deep in the sand—
beyond the reach of the wind."		fill_native_translation_only
is	outcome.success.easy.pool	11	EXACT_EN,ENGLISH_LIKE	"Harmony was restored.
Everything had been for this moment."	"Harmony was restored.
Everything had been for this moment."		fill_native_translation_only
is	outcome.success.easy.pool	12	EXACT_EN,ENGLISH_LIKE	"Time slipped by in silence,
tucked away in the corners of memory."	"Time slipped by in silence,
tucked away in the corners of memory."		fill_native_translation_only
is	outcome.success.easy.pool	13	EXACT_EN,ENGLISH_LIKE	"The sky shifted in color,
and one story came to its end."	"The sky shifted in color,
and one story came to its end."		fill_native_translation_only
is	outcome.success.easy.pool	14	EXACT_EN,ENGLISH_LIKE	"The waves grew calm,
and the sea hid its depths once more."	"The waves grew calm,
and the sea hid its depths once more."		fill_native_translation_only
is	outcome.success.easy.pool	15	EXACT_EN,ENGLISH_LIKE	"The footsteps stopped,
and only the place remained."	"The footsteps stopped,
and only the place remained."		fill_native_translation_only
is	outcome.success.easy.pool	16	EXACT_EN,ENGLISH_LIKE	"Victory and defeat 
are nothing more than grains of sand."	"Victory and defeat 
are nothing more than grains of sand."		fill_native_translation_only
is	outcome.success.easy.pool	17	EXACT_EN,ENGLISH_LIKE	"The road goes on—or it ends.
Either way, it lies on the same earth."	"The road goes on—or it ends.
Either way, it lies on the same earth."		fill_native_translation_only
is	outcome.success.normal.pool	1	EXACT_EN,ENGLISH_LIKE	"The distance has found its meaning.
Time has rewarded your journey."	"The distance has found its meaning.
Time has rewarded your journey."		fill_native_translation_only
is	outcome.success.normal.pool	2	EXACT_EN,ENGLISH_LIKE	"The time is up.
but the rest is far from over."	"The time is up.
but the rest is far from over."		fill_native_translation_only
is	outcome.success.normal.pool	3	EXACT_EN,ENGLISH_LIKE	"The axis is found.
the world has cased its motion."	"The axis is found.
the world has cased its motion."		fill_native_translation_only
is	outcome.success.normal.pool	4	EXACT_EN,ENGLISH_LIKE	"The glass held its breath,
and you held your ground."	"The glass held its breath,
and you held your ground."		fill_native_translation_only
is	outcome.success.normal.pool	5	EXACT_EN,ENGLISH_LIKE	"Under the stillness of the sky,
your spirit did not waver."	"Under the stillness of the sky,
your spirit did not waver."		fill_native_translation_only
is	outcome.success.normal.pool	6	EXACT_EN,ENGLISH_LIKE	"Few things shine forever.
but this moment was radiant."	"Few things shine forever.
but this moment was radiant."		fill_native_translation_only
is	outcome.success.normal.pool	7	EXACT_EN,ENGLISH_LIKE	"You traversed the fragile earth,
without losing the view."	"You traversed the fragile earth,
without losing the view."		fill_native_translation_only
is	outcome.success.normal.pool	8	EXACT_EN,ENGLISH_LIKE	"The moment has passed.
The legacy remains."	"The moment has passed.
The legacy remains."		fill_native_translation_only
is	outcome.success.normal.pool	9	EXACT_EN	"Luck fades fast.
order endures."	"Luck fades fast.
order endures."		fill_native_translation_only
is	outcome.success.normal.pool	10	EXACT_EN,ENGLISH_LIKE	"The sky knows no pause in endless circle,
nor shall you find yours."	"The sky knows no pause in endless circle,
nor shall you find yours."		fill_native_translation_only
is	outcome.success.normal.pool	11	EXACT_EN,ENGLISH_LIKE	"The center has been reached.
The world stood still."	"The center has been reached.
The world stood still."		fill_native_translation_only
is	outcome.success.normal.pool	12	EXACT_EN,ENGLISH_LIKE	"Finally here.
The truth remains unyielding."	"Finally here.
The truth remains unyielding."		fill_native_translation_only
is	outcome.success.normal.pool	13	EXACT_EN,ENGLISH_LIKE	"You have seen it through.
And mark this: it was you, and no one else, who chose this path."	"You have seen it through.
And mark this: it was you, and no one else, who chose this path."		fill_native_translation_only
is	outcome.success.normal.pool	14	EXACT_EN,ENGLISH_LIKE	"Time drifted into silence,
finding its place in the recesses of the mind."	"Time drifted into silence,
finding its place in the recesses of the mind."		fill_native_translation_only
is	outcome.success.normal.pool	15	EXACT_EN,ENGLISH_LIKE	"As the sky transformed,
the tale found its final resolved."	"As the sky transformed,
the tale found its final resolved."		fill_native_translation_only
is	outcome.success.normal.pool	16	EXACT_EN,ENGLISH_LIKE	"The waters fell calm,
and the sky once more veiled its abyss."	"The waters fell calm,
and the sky once more veiled its abyss."		fill_native_translation_only
is	outcome.success.normal.pool	17	EXACT_EN,ENGLISH_LIKE	"The footsteps ceased,
only the place remained."	"The footsteps ceased,
only the place remained."		fill_native_translation_only
is	outcome.success.normal.pool	18	EXACT_EN,ENGLISH_LIKE	"Light fell evenly, ,
and every shadow vanished."	"Light fell evenly, ,
and every shadow vanished."		fill_native_translation_only
is	outcome.success.normal.pool	19	EXACT_EN,ENGLISH_LIKE	"The wind fell silent.
and everything returned to where it belonged."	"The wind fell silent.
and everything returned to where it belonged."		fill_native_translation_only
is	outcome.success.normal.pool	20	EXACT_EN,ENGLISH_LIKE	"A moment of silence.
The world steadied its breath."	"A moment of silence.
The world steadied its breath."		fill_native_translation_only
is	outcome.success.normal.pool	21	EXACT_EN,ENGLISH_LIKE	"The record is etched deep in the sand—
beyond the reach of the wind."	"The record is etched deep in the sand—
beyond the reach of the wind."		fill_native_translation_only
is	outcome.success.normal.pool	22	EXACT_EN,ENGLISH_LIKE	"Harmony was restored.
Everything had been for this moment."	"Harmony was restored.
Everything had been for this moment."		fill_native_translation_only
is	outcome.success.normal.pool	23	EXACT_EN,ENGLISH_LIKE	"RUN COMPLETE.
Clear. Found it.
That's enough."	"RUN COMPLETE.
Clear. Found it.
That's enough."		fill_native_translation_only
is	outcome.success.normal.pool	24	EXACT_EN,ENGLISH_LIKE	"RUN COMPLETE.
The path held.
So did you."	"RUN COMPLETE.
The path held.
So did you."		fill_native_translation_only
is	outcome.success.normal.pool	25	EXACT_EN,ENGLISH_LIKE	"The sky has kept moving.
So can you."	"The sky has kept moving.
So can you."		fill_native_translation_only
is	outcome.success.normal.pool	26	EXACT_EN,ENGLISH_LIKE	"RUN COMPLETE.
A quiet result.
The weight of real work."	"RUN COMPLETE.
A quiet result.
The weight of real work."		fill_native_translation_only
is	outcome.success.normal.pool	27	EXACT_EN,ENGLISH_LIKE	"You only walked the path
the world had laid out for you."	"You only walked the path
the world had laid out for you."		fill_native_translation_only
is	outcome.success.normal.pool	28	EXACT_EN,ENGLISH_LIKE	"The ground didn’t give way.
It trusted your steps."	"The ground didn’t give way.
It trusted your steps."		fill_native_translation_only
is	outcome.success.normal.pool	29	EXACT_EN,ENGLISH_LIKE	"This moment aligned
with the stars’ ancient rhythm."	"This moment aligned
with the stars’ ancient rhythm."		fill_native_translation_only
is	outcome.success.normal.pool	30	EXACT_EN,ENGLISH_LIKE	"You didn’t take anything.
 You understood something."	"You didn’t take anything.
 You understood something."		fill_native_translation_only
is	outcome.success.normal.pool	31	EXACT_EN,ENGLISH_LIKE	"You didn’t gain a thing.
You only saw the truth for what it was."	"You didn’t gain a thing.
You only saw the truth for what it was."		fill_native_translation_only
is	outcome.success.normal.pool	32	EXACT_EN,ENGLISH_LIKE	"You didn’t take this place.
You belonged here."	"You didn’t take this place.
You belonged here."		fill_native_translation_only
is	outcome.success.normal.pool	33	EXACT_EN,ENGLISH_LIKE	"You walked a road
older than memory itself."	"You walked a road
older than memory itself."		fill_native_translation_only
is	outcome.success.normal.pool	34	EXACT_EN,ENGLISH_LIKE	"The earth did not resist.
It recognized you."	"The earth did not resist.
It recognized you."		fill_native_translation_only
is	outcome.success.normal.pool	35	EXACT_EN,ENGLISH_LIKE	"This moment aligned
 with the stillness of the stars."	"This moment aligned
 with the stillness of the stars."		fill_native_translation_only
is	outcome.success.hard.pool	1	EXACT_EN,ENGLISH_LIKE	"In the north wind,
clarity outlasts speed."	"In the north wind,
clarity outlasts speed."		fill_native_translation_only
is	outcome.success.hard.pool	2	EXACT_EN,ENGLISH_LIKE	"The center was found.
 The world came to rest."	"The center was found.
 The world came to rest."		fill_native_translation_only
is	outcome.success.hard.pool	3	EXACT_EN,ENGLISH_LIKE	"The stars stay silent.
Your record does the speaking."	"The stars stay silent.
Your record does the speaking."		fill_native_translation_only
