lang	pool	index	old	new	status
ru	outcome.success.easy.pool	1	"Ты дошёл.
Истина всё ещё на месте."	"Ты дошёл.
Истина осталась на своём месте."	CHANGED
ru	outcome.success.easy.pool	2	"Пусть это был лишь маленький шаг,
но ты не отступил."	"Пусть это был всего один маленький шаг,
ты всё равно не отступил."	CHANGED
ru	outcome.success.easy.pool	3	"Ты прислушался —
и путь открылся."	"Ты услышал —
и путь открылся сам."	CHANGED
ru	outcome.success.easy.pool	4	"> Ты добрался сюда.
> 
> Правила были просты —
> 
> выбор оставался за тобой."	"> Ты дошёл сюда.
>
> Правила были просты —
>
> выбор всё это время был за тобой."	CHANGED
ru	outcome.success.easy.pool	5	"> Расстояние обрело смысл.
> 
> И время ответило на твои шаги."	"> Расстояние обрело смысл.
>
> И время ответило на твои шаги."	CHANGED
ru	outcome.success.easy.pool	6	"> Не всякий свет горит вечно.
> 
> Но этот миг — сиял."	"> Не всякому свету дано гореть вечно.
>
> Но этот миг действительно сиял."	CHANGED
ru	outcome.success.easy.pool	7	"Свет лёг ровно,
и все тени отступили."	"Свет лёг тихо и ровно,
и все тени отступили."	CHANGED
ru	outcome.success.easy.pool	8	"Ветер стих.
Всё вернулось на своё место."	"Ветер стих.
Всё снова стало на свои места."	CHANGED
ru	outcome.success.easy.pool	9	"Мгновение тишины.
Мир снова выровнял дыхание."	"Мгновение тишины.
Мир снова перевёл дыхание."	CHANGED
ru	outcome.success.easy.pool	10	"След глубоко врезался в песок —
там, куда не достанет ветер."	"След глубоко лёг в песок —
туда, куда уже не достанет ветер."	CHANGED
ru	outcome.success.easy.pool	11	"Равновесие вернулось.
Всё вело именно к этому мигу."	"Равновесие вернулось.
Всё вело именно к этому мигу."	UNCHANGED
ru	outcome.success.easy.pool	12	"Время тихо прошло мимо
и осталось в уголке памяти."	"Время тихо скользнуло мимо
и осело в уголке памяти."	CHANGED
ru	outcome.success.easy.pool	13	"Небо сменило цвет,
и одна история подошла к концу."	"Небо сменило цвет,
и одна история подошла к концу."	UNCHANGED
ru	outcome.success.easy.pool	14	"Волны улеглись,
и море снова спрятало свою глубину."	"Волны улеглись,
и море снова спрятало свою глубину."	UNCHANGED
ru	outcome.success.easy.pool	15	"Шаги остановились,
и осталось только это место."	"Шаги остановились,
и осталось лишь это место."	CHANGED
ru	outcome.success.easy.pool	16	"Победа и поражение —
в конце концов лишь песчинки."	"Победа и поражение —
в конце концов всего лишь песчинки."	CHANGED
ru	outcome.success.easy.pool	17	"Дорога продолжается — или обрывается здесь.
Так или иначе, она лежит на той же земле."	"Дорога продолжается — или заканчивается здесь.
В любом случае она лежит на той же земле."	CHANGED
ru	outcome.success.normal.pool	1	"Расстояние наконец обрело смысл.
Время ответило на твой путь."	"Расстояние наконец обрело смысл.
Время откликнулось на твой путь."	CHANGED
ru	outcome.success.normal.pool	2	"Время вышло.
Но не всё ещё окончено."	"Время вышло.
Но ещё не всё окончено."	CHANGED
ru	outcome.success.normal.pool	3	"Ось найдена.
Мир остановил своё движение."	"Ось найдена.
Мир замедлился и остановился."	CHANGED
ru	outcome.success.normal.pool	4	"Стекло затаило дыхание,
а ты удержал своё место."	"Стекло затаило дыхание,
а ты удержался на месте."	CHANGED
ru	outcome.success.normal.pool	5	"Под неподвижным небом
твой дух не дрогнул."	"Под неподвижным небом
ты не дрогнул."	CHANGED
