key	en_us	non_is	note
accessibility.onboarding.accessibility.button	accessibility.onboarding.accessibility.button	accessibility.onboarding.accessibility.button	review needed
accessibility.onboarding.screen.narrator	Press enter to enable the narrator	Press enter to enable the narrator	review needed
accessibility.onboarding.screen.title	"Welcome to Minecraft!

Would you like to enable the Narrator or visit the Accessibility Settings?"	"Welcome to Minecraft!

Would you like to enable the Narrator or visit the Accessibility Settings?"	review needed
addServer.hideAddress	Hide Address	Hide Address	review needed
addServer.resourcePack	Server Resource Packs	Server Resource Packs	review needed
addServer.resourcePack.disabled	Disabled	Disabled	review needed
addServer.resourcePack.enabled	Enabled	Enabled	review needed
addServer.resourcePack.prompt	Prompt	Prompt	review needed
advMode.allEntities	"Use ""@e"" to target all entities"	"Use ""@e"" to target all entities"	review needed
advMode.allPlayers	"Use ""@a"" to target all players"	"Use ""@a"" to target all players"	review needed
advMode.command	Console Command	Console Command	review needed
advMode.mode	Mode	Mode	review needed
advMode.mode.auto	Repeat	Repeat	review needed
advMode.mode.autoexec.bat	Always Active	Always Active	review needed
advMode.mode.conditional	Conditional	Conditional	review needed
advMode.mode.redstone	Impulse	Impulse	review needed
advMode.mode.redstoneTriggered	Needs Redstone	Needs Redstone	review needed
advMode.mode.sequence	Chain	Chain	review needed
advMode.mode.unconditional	Unconditional	Unconditional	review needed
advMode.nearestPlayer	"Use ""@p"" to target nearest player"	"Use ""@p"" to target nearest player"	review needed
advMode.notAllowed	Must be an opped player in creative mode	Must be an opped player in creative mode	review needed
advMode.notEnabled	Command blocks are not enabled on this server	Command blocks are not enabled on this server	review needed
advMode.notEnabled.spawner	advMode.notEnabled.spawner	advMode.notEnabled.spawner	review needed
advMode.previousOutput	Previous Output	Previous Output	review needed
advMode.randomPlayer	"Use ""@r"" to target random player"	"Use ""@r"" to target random player"	review needed
advMode.self	"Use ""@s"" to target the executing entity"	"Use ""@s"" to target the executing entity"	review needed
advMode.setCommand	Set Console Command for Block	Set Console Command for Block	review needed
advMode.setCommand.disabled	advMode.setCommand.disabled	advMode.setCommand.disabled	review needed
advMode.setCommand.success	Command set: %s	Command set: %s	review needed
advMode.trackOutput	Track output	Track output	review needed
advMode.triggering	Triggering	Triggering	review needed
advMode.type	Type	Type	review needed
advancement.advancementNotFound	Unknown advancement: %s	Unknown advancement: %s	review needed
advancements.adventure.adventuring_time.description	Discover every biome	Discover every biome	review needed
advancements.adventure.adventuring_time.title	Adventuring Time	Adventuring Time	review needed
advancements.adventure.arbalistic.description	Kill five unique mobs with one crossbow shot	Kill five unique mobs with one crossbow shot	review needed
advancements.adventure.arbalistic.title	Arbalistic	Arbalistic	review needed
advancements.adventure.avoid_vibration.description	Sneak near a Sculk Sensor or Warden to prevent it from detecting you	Sneak near a Sculk Sensor or Warden to prevent it from detecting you	review needed
advancements.adventure.avoid_vibration.title	Sneak 100	Sneak 100	review needed
advancements.adventure.blowback.description	advancements.adventure.blowback.description	advancements.adventure.blowback.description	review needed
advancements.adventure.blowback.title	advancements.adventure.blowback.title	advancements.adventure.blowback.title	review needed
advancements.adventure.brush_armadillo.description	advancements.adventure.brush_armadillo.description	advancements.adventure.brush_armadillo.description	review needed
advancements.adventure.brush_armadillo.title	advancements.adventure.brush_armadillo.title	advancements.adventure.brush_armadillo.title	review needed
