key	index	source_text	target_text
success.easy	1	"You’ve made it.
The truth remains."	
success.easy	2	"Even if it was only a small step,
you held your ground."	
success.easy	3	"You listened.
 The path opened."	
success.easy	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."	
success.easy	5	"> Distance became meaning.
> 
> and time answered your footsteps."	
success.easy	6	"> Not everything shines forever.
> 
> But this moment did."	
success.easy	7	"Light fell evenly, ,
and every shadow vanished."	
success.easy	8	"The wind fell silent.
and everything returned to where it belonged."	
success.easy	9	"A moment of silence.
The world steadied its breath."	
success.easy	10	"The record is etched deep in the sand—
beyond the reach of the wind."	
success.easy	11	"Harmony was restored.
Everything had been for this moment."	
success.easy	12	"Time slipped by in silence,
tucked away in the corners of memory."	
success.easy	13	"The sky shifted in color,
and one story came to its end."	
success.easy	14	"The waves grew calm,
and the sea hid its depths once more."	
success.easy	15	"The footsteps stopped,
and only the place remained."	
success.easy	16	"Victory and defeat 
are nothing more than grains of sand."	
success.easy	17	"The road goes on—or it ends.
Either way, it lies on the same earth."	
success.normal	1	"The distance has found its meaning.
Time has rewarded your journey."	
success.normal	2	"The time is up.
but the rest is far from over."	
success.normal	3	"The axis is found.
the world has cased its motion."	
success.normal	4	"The glass held its breath,
and you held your ground."	
success.normal	5	"Under the stillness of the sky,
your spirit did not waver."	
success.normal	6	"Few things shine forever.
but this moment was radiant."	
success.normal	7	"You traversed the fragile earth,
without losing the view."	
success.normal	8	"The moment has passed.
The legacy remains."	
success.normal	9	"Luck fades fast.
order endures."	
success.normal	10	"The sky knows no pause in endless circle,
nor shall you find yours."	
success.normal	11	"The center has been reached.
The world stood still."	
success.normal	12	"Finally here.
The truth remains unyielding."	
success.normal	13	"You have seen it through.
And mark this: it was you, and no one else, who chose this path."	
success.normal	14	"Time drifted into silence,
finding its place in the recesses of the mind."	
success.normal	15	"As the sky transformed,
the tale found its final resolved."	
success.normal	16	"The waters fell calm,
and the sky once more veiled its abyss."	
success.normal	17	"The footsteps ceased,
only the place remained."	
success.normal	18	"Light fell evenly, ,
and every shadow vanished."	
success.normal	19	"The wind fell silent.
and everything returned to where it belonged."	
success.normal	20	"A moment of silence.
The world steadied its breath."	
success.normal	21	"The record is etched deep in the sand—
beyond the reach of the wind."	
