key	en_us	ang	note
chestSound.actionBarDebug	chestSound.actionBarDebug	chestSound.actionBarDebug	review needed
chestSound.debug	chestSound.debug	chestSound.debug	review needed
command.checkTreasureEmerald.playersOnly	Only players can use this command.	Only players can use this command.	review needed
command.checkTreasureEmerald.resultFalse	The item in your hand is not a Treasure Emerald.	The item in your hand is not a Treasure Emerald.	review needed
command.checkTreasureEmerald.resultTrue	The item in your hand is a Treasure Emerald.	The item in your hand is a Treasure Emerald.	review needed
command.craftSpecialEmerald.needDiamonds	&cYou need 3 diamonds to craft a Special Emerald.	&cYou need 3 diamonds to craft a Special Emerald.	review needed
command.craftSpecialEmerald.playersOnly	&cOnly players can use this command.	&cOnly players can use this command.	review needed
command.craftSpecialEmerald.success	&bYou crafted a Special Emerald using 3 diamonds!	&bYou crafted a Special Emerald using 3 diamonds!	review needed
command.gameStart.playersOnly	This command can only be used by players.	This command can only be used by players.	review needed
command.gameStart.started	§aTreasure hunt started! Difficulty: {difficulty} | Time limit: {timeLimit} seconds	§aTreasure hunt started! Difficulty: {difficulty} | Time limit: {timeLimit} seconds	review needed
command.gameStart.worldNotFound	[TreasureRun] The start world is not configured or could not be found.	[TreasureRun] The start world is not configured or could not be found.	review needed
command.lang.changedButNotSaved	⚠ Language changed, but failed to persist it: {lang}	⚠ Language changed, but failed to persist it: {lang}	review needed
command.lang.guiCancelledGameMenu	Language selection was cancelled. To open it again, run /gameMenu gui.	Language selection was cancelled. To open it again, run /gameMenu gui.	review needed
command.lang.guiCancelledGameStart	Language selection was cancelled. To try again, run /gameStart <easy|normal|hard>.	Language selection was cancelled. To try again, run /gameStart <easy|normal|hard>.	review needed
command.lang.guiNotReady	Language GUI is not initialized.	Language GUI is not initialized.	review needed
command.lang.guiTooManyShown	Too many allowed languages were configured, so only the first 27 are shown in the GUI.	Too many allowed languages were configured, so only the first 27 are shown in the GUI.	review needed
command.lang.list.allowed	allowed: {allowed}	allowed: {allowed}	review needed
command.lang.list.default	default: {default}	default: {default}	review needed
command.lang.list.gui	GUI: /lang or /lang gui	GUI: /lang or /lang gui	review needed
command.lang.resetDone	✅ Your saved language has been reset. The GUI will open next time.	✅ Your saved language has been reset. The GUI will open next time.	review needed
command.quoteFavorite.bookOpenFailed	&cFailed to build the Favorites book.	&cFailed to build the Favorites book.	review needed
command.quoteFavorite.help.book	&7/quoteFavorite book [toc|success|timeup|other|full] : open the archive book	&7/quoteFavorite book [toc|success|timeup|other|full] : open the archive book	review needed
command.quoteFavorite.help.bookOther	&7other shows only other quotes	&7other shows only other quotes	review needed
command.quoteFavorite.help.bookSuccess	&7success shows only successful quotes	&7success shows only successful quotes	review needed
command.quoteFavorite.help.bookTimeup	&7timeup shows only time-up quotes	&7timeup shows only time-up quotes	review needed
