lang	pool	index	translation
hi	outcome.success.easy.pool	1	"तुमने कर दिखाया।
सच अब भी अपनी जगह खड़ा है।"
hi	outcome.success.easy.pool	2	"चाहे वह बस एक छोटा-सा कदम ही क्यों न था,
तुम डटे रहे।"
hi	outcome.success.easy.pool	3	"तुमने सुना।
और रास्ता अपने-आप खुल गया।"
hi	outcome.success.easy.pool	4	"> तुम यहाँ तक पहुँच गए।
> 
> नियम सरल थे —
> 
> चुनाव तुम्हारा था।"
hi	outcome.success.easy.pool	5	"> दूरी ने अर्थ पा लिया।
> 
> और समय ने तुम्हारे कदमों को जवाब दिया।"
hi	outcome.success.easy.pool	6	"> हर चमक हमेशा नहीं रहती।
> 
> लेकिन यह क्षण चमका।"
hi	outcome.success.easy.pool	7	"रोशनी बराबर फैल गई,
और हर छाया मिट गई।"
hi	outcome.success.easy.pool	8	"हवा थम गई।
और सब कुछ अपनी जगह लौट आया।"
hi	outcome.success.easy.pool	9	"एक पल की ख़ामोशी।
दुनिया ने फिर से साँस ली।"
hi	outcome.success.easy.pool	10	"निशान रेत में गहराई तक उतर गया —
हवा की पहुँच से दूर।"
hi	outcome.success.easy.pool	11	"संतुलन फिर लौट आया।
सब कुछ जैसे इसी क्षण के लिए था।"
hi	outcome.success.easy.pool	12	"समय चुपचाप गुज़र गया,
यादों के कोनों में ठहरा हुआ।"
hi	outcome.success.easy.pool	13	"आकाश ने रंग बदला,
और एक कहानी अपने अंत तक पहुँची।"
hi	outcome.success.easy.pool	14	"लहरें शांत हो गईं,
और समुद्र ने अपनी गहराई फिर छिपा ली।"
hi	outcome.success.easy.pool	15	"कदम रुक गए,
और केवल वह जगह रह गई।"
hi	outcome.success.easy.pool	16	"जीत और हार
रेत के कणों से ज़्यादा कुछ नहीं।"
hi	outcome.success.easy.pool	17	"रास्ता आगे बढ़ता है — या यहीं थम जाता है।
दोनों ही तरह, वह इसी धरती पर रहता है।"
hi	outcome.success.normal.pool	1	"दूरी ने अपना अर्थ पा लिया।
समय ने तुम्हारी यात्रा को जवाब दिया।"
hi	outcome.success.normal.pool	2	"समय समाप्त हुआ।
लेकिन सब कुछ समाप्त नहीं हुआ।"
hi	outcome.success.normal.pool	3	"धुरी मिल गई।
दुनिया की गति थम गई।"
hi	outcome.success.normal.pool	4	"काँच ने साँस रोक ली,
और तुम अपनी जगह डटे रहे।"
hi	outcome.success.normal.pool	5	"आकाश की निस्तब्धता के नीचे,
तुम्हारा मन नहीं डगमगाया।"
hi	outcome.success.normal.pool	6	"बहुत कम चीज़ें हमेशा चमकती हैं।
लेकिन यह क्षण पूरी तरह चमका।"
hi	outcome.success.normal.pool	7	"तुमने नाज़ुक ज़मीन पार की,
बिना नज़र खोए।"
hi	outcome.success.normal.pool	8	"क्षण बीत गया।
जो बचा, वही ठहरा रहा।"
hi	outcome.success.normal.pool	9	"किस्मत जल्दी फीकी पड़ जाती है।
क्रम बना रहता है।"
hi	outcome.success.normal.pool	10	"आकाश अपने अंतहीन चक्र में कभी नहीं ठहरता,
और तुम भी नहीं रुके।"
hi	outcome.success.normal.pool	11	"केंद्र तक पहुँच गए।
दुनिया ठहर गई।"
hi	outcome.success.normal.pool	12	"आख़िरकार, यहाँ।
सच अब भी अडिग है।"
hi	outcome.success.normal.pool	13	"तुम अंत तक गए।
और याद रखो: यह रास्ता तुमने चुना था, किसी और ने नहीं।"
