lang	key	index	text
de	success.easy	1	"You’ve made it.
The truth remains."
de	success.easy	2	"Even if it was only a small step,
you held your ground."
de	success.easy	3	"You listened.
 The path opened."
de	success.easy	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
de	success.easy	5	"> Distance became meaning.
> 
> and time answered your footsteps."
de	success.easy	6	"> Not everything shines forever.
> 
> But this moment did."
de	success.easy	7	"Light fell evenly, ,
and every shadow vanished."
de	success.easy	8	"The wind fell silent.
and everything returned to where it belonged."
de	success.easy	9	"A moment of silence.
The world steadied its breath."
de	success.easy	10	"The record is etched deep in the sand—
beyond the reach of the wind."
de	success.easy	11	"Harmony was restored.
Everything had been for this moment."
de	success.easy	12	"Time slipped by in silence,
tucked away in the corners of memory."
de	success.easy	13	"The sky shifted in color,
and one story came to its end."
de	success.easy	14	"The waves grew calm,
and the sea hid its depths once more."
de	success.easy	15	"The footsteps stopped,
and only the place remained."
de	success.easy	16	"Victory and defeat 
are nothing more than grains of sand."
de	success.easy	17	"The road goes on—or it ends.
Either way, it lies on the same earth."
de	success.normal	1	"The distance has found its meaning.
Time has rewarded your journey."
de	success.normal	2	"The time is up.
but the rest is far from over."
de	success.normal	3	"The axis is found.
the world has cased its motion."
de	success.normal	4	"The glass held its breath,
and you held your ground."
de	success.normal	5	"Under the stillness of the sky,
your spirit did not waver."
de	success.normal	6	"Few things shine forever.
but this moment was radiant."
de	success.normal	7	"You traversed the fragile earth,
without losing the view."
de	success.normal	8	"The moment has passed.
The legacy remains."
de	success.normal	9	"Luck fades fast.
order endures."
de	success.normal	10	"The sky knows no pause in endless circle,
nor shall you find yours."
de	success.normal	11	"The center has been reached.
The world stood still."
de	success.normal	12	"Finally here.
The truth remains unyielding."
de	success.normal	13	"You have seen it through.
And mark this: it was you, and no one else, who chose this path."
de	success.normal	14	"Time drifted into silence,
finding its place in the recesses of the mind."
de	success.normal	15	"As the sky transformed,
the tale found its final resolved."
de	success.normal	16	"The waters fell calm,
and the sky once more veiled its abyss."
de	success.normal	17	"The footsteps ceased,
only the place remained."
de	success.normal	18	"Light fell evenly, ,
and every shadow vanished."
de	success.normal	19	"The wind fell silent.
and everything returned to where it belonged."
de	success.normal	20	"A moment of silence.
The world steadied its breath."
de	success.normal	21	"The record is etched deep in the sand—
beyond the reach of the wind."
de	success.normal	22	"Harmony was restored.
Everything had been for this moment."
de	success.normal	23	"RUN COMPLETE.
Clear. Found it.
That's enough."
de	success.normal	24	"RUN COMPLETE.
The path held.
So did you."
de	success.normal	25	"The sky has kept moving.
So can you."
de	success.normal	26	"RUN COMPLETE.
A quiet result.
The weight of real work."
de	success.normal	27	"You only walked the path
the world had laid out for you."
de	success.normal	28	"The ground didn’t give way.
It trusted your steps."
de	success.normal	29	"This moment aligned
with the stars’ ancient rhythm."
de	success.normal	30	"You didn’t take anything.
 You understood something."
de	success.normal	31	"You didn’t gain a thing.
You only saw the truth for what it was."
de	success.normal	32	"You didn’t take this place.
You belonged here."
de	success.normal	33	"You walked a road
older than memory itself."
de	success.normal	34	"The earth did not resist.
It recognized you."
de	success.normal	35	"This moment aligned
 with the stillness of the stars."
de	success.hard	1	"In the north wind,
clarity outlasts speed."
de	success.hard	2	"The center was found.
 The world came to rest."
de	success.hard	3	"The stars stay silent.
Your record does the speaking."
de	success.hard	4	"The result  remained.
The position changed."
de	success.hard	5	"Between ice and glass,
you chose control."
de	success.hard	6	"The waves fell quiet,
and the sea reclaimed its hidden depths."
de	success.hard	7	"Some treasures still await.
Next time, a different path."
de	success.hard	8	"The sky didn’t change.
You did."
de	success.hard	9	"The moment passed.
What remained was order."
de	success.hard	10	"Winter is honest.
So was your run."
de	success.hard	11	"The stars aligned for a moment.
You noticed."
de	success.hard	12	"The distance closed.
Time did not."
de	success.hard	13	"The world’s rules stood firm.
 And the signal of possibility was real."
de	success.hard	14	"The path closed quietly.
You were already through."
de	success.hard	15	"Nothing changed.
Only your position did."
de	success.hard	16	"Not luck.
Alignment."
de	success.hard	17	"The moment passed.
The record remains."
de	success.hard	18	"The outcome didn’t change.
Still, you moved forward."
de	success.hard	19	"The output didn’t change.
But you reached a new level."
de	success.hard	20	"The ending was the same.
But the one who reached it had changed."
de	success.hard	21	"The destination is the same
—but you’re no longer the traveler you once were."
de	success.hard	22	"Light fell evenly, ,
and every shadow vanished."
de	success.hard	23	"The wind fell silent.
and everything returned to where it belonged."
de	success.hard	24	"A moment of silence.
The world steadied its breath."
de	success.hard	25	"The record is etched deep in the sand—
beyond the reach of the wind."
de	success.hard	26	"Harmony was restored.
Everything had been for this moment."
de	success.hard	27	"Time slipped by in silence,
tucked away in the corners of memory."
de	success.hard	28	"The sky shifted in color,
and one story came to its end."
de	success.hard	29	"The waves grew calm,
and the sea hid its depths once more."
de	success.hard	30	"The footsteps stopped,
and only the place remained."
de	success.hard	31	"Victory and defeat 
are nothing more than grains of sand."
de	success.hard	32	"The road goes on—or it ends.
Either way, it lies on the same earth."
de	timeup.easy	1	"Time ran out.
Nothing else did."
de	timeup.easy	2	"The treasure can wait.
So can you."
de	timeup.easy	3	"Breathe in.
Then again."
de	timeup.easy	4	"That’s all for now.
On to the next step."
de	timeup.easy	5	"You're still here.
That’s what matters."
de	timeup.easy	6	"The run ended.
You didn’t."
de	timeup.easy	7	"TIME'S UP.
The run ended.
You didn't."
de	timeup.easy	8	"TIME'S UP.
The rules don’t change.
Again."
de	timeup.easy	9	"TIME'S UP.
“So close” is real."
