lang	pool	index	translation
sa	outcome.success.easy.pool	1	"त्वं प्राप्तवान्।
सत्यं स्वस्थाने एव तिष्ठति।"
sa	outcome.success.easy.pool	2	"एकं लघुपदम् अपि आसीत् चेत्,
त्वं न प्रतिनिवृत्तवान्।"
sa	outcome.success.easy.pool	3	"त्वया श्रुतम्।
ततः मार्गः स्वयं विवृतः।"
sa	outcome.success.easy.pool	4	"> अत्र त्वं प्राप्तवान्।
>
> नियमाः सरलाः आसन् —
>
> विकल्पः तव हस्ते एव आसीत्।"
sa	outcome.success.easy.pool	5	"> दूरत्वम् अर्थं प्राप्तम्।
>
> कालः अपि तव पदशब्दम् प्रत्यवदत्।"
sa	outcome.success.easy.pool	6	"> न सर्वं ज्योतिः नित्यं दीप्यते।
>
> किन्तु अयं क्षणः दीपितः।"
sa	outcome.success.easy.pool	7	"ज्योतिः शान्ततया अपतत्,
सर्वाः छायाः निवृत्ताः।"
sa	outcome.success.easy.pool	8	"वायुः शान्तः।
सर्वं स्वस्थानं प्रतिपन्नम्।"
sa	outcome.success.easy.pool	9	"क्षणमात्रं मौनम्।
जगत् पुनः स्वश्वासं समीकृतवत्।"
sa	outcome.success.easy.pool	10	"चिह्नं सिकतासु गाढं लिखितम् —
यत्र वायुरपि न प्राप्नोति।"
sa	outcome.success.easy.pool	11	"समता पुनरागताः।
सर्वं अस्मिन् क्षणे एव संगतम्।"
sa	outcome.success.easy.pool	12	"कालः तूष्णीं ससार,
स्मृतेः कोणेषु निहितः।"
sa	outcome.success.easy.pool	13	"आकाशः वर्णं परिवर्तितवान्,
एका कथा च समाप्तिम् अगच्छत्।"
sa	outcome.success.easy.pool	14	"तरङ्गाः शान्ताः,
समुद्रः पुनः स्वगाम्भीर्यं निगूढवान्।"
sa	outcome.success.easy.pool	15	"पदशब्दाः विरताः,
केवलं तत् स्थानम् अवशिष्टम्।"
sa	outcome.success.easy.pool	16	"जयः पराजयश्च —
अन्ते केवलाः सिकताकणाः।"
sa	outcome.success.easy.pool	17	"मार्गः प्रवर्तते — अथवा अत्रैव निवर्तते।
यथाकथंचित् सः तस्यामेव भूमौ स्थितः।"
sa	outcome.success.normal.pool	1	"दूरत्वम् अन्ततः अर्थं प्राप्तम्।
कालः तव यात्राम् प्रत्यवदत्।"
sa	outcome.success.normal.pool	2	"कालः समाप्तः।
तथापि सर्वं न समाप्तम्।"
sa	outcome.success.normal.pool	3	"अक्षः लब्धः।
जगत् स्वगतिं विरमितवत्।"
sa	outcome.success.normal.pool	4	"काचः श्वासं निरुध्य स्थितः,
त्वं च स्वस्थानं धारितवान्।"
sa	outcome.success.normal.pool	5	"निश्चले नभसि,
तव चित्तं न चकम्पे।"
sa	outcome.success.normal.pool	6	"अल्पानि वस्तूनि नित्यं दीप्यन्ते।
किन्तु अयं क्षणः निर्मलः दीप्तश्च आसीत्।"
sa	outcome.success.normal.pool	7	"भङ्गुरां भूमिं त्वं अतीतः,
दृष्टिं च नापसारितवान्।"
sa	outcome.success.normal.pool	8	"क्षणः अतीतः।
यत् अवशिष्टं तत् अद्यापि तिष्ठति।"
sa	outcome.success.normal.pool	9	"भाग्यं शीघ्रं म्लायति।
क्रमः तिष्ठति।"
sa	outcome.success.normal.pool	10	"आकाशं अनन्तवृत्ते विरामं न जानाति,
त्वमपि न विरतवान्।"
sa	outcome.success.normal.pool	11	"त्वं मध्यं प्राप्तवान्।
जगत् स्तब्धम्।"
sa	outcome.success.normal.pool	12	"अन्ततः अत्र।
सत्यं अद्यापि दृढम्।"
