lang	pool	kind	meta	value
it	outcome.success.easy.pool	COUNT	17	17
it	outcome.success.easy.pool	ENGLISH_LIKE	1	"You’ve made it.
The truth remains."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	1	"You’ve made it.
The truth remains."
it	outcome.success.easy.pool	ENGLISH_LIKE	2	"Even if it was only a small step,
you held your ground."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	2	"Even if it was only a small step,
you held your ground."
it	outcome.success.easy.pool	ENGLISH_LIKE	3	"You listened.
 The path opened."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	3	"You listened.
 The path opened."
it	outcome.success.easy.pool	ENGLISH_LIKE	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
it	outcome.success.easy.pool	ENGLISH_LIKE	5	"> Distance became meaning.
> 
> and time answered your footsteps."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	5	"> Distance became meaning.
> 
> and time answered your footsteps."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	6	"> Not everything shines forever.
> 
> But this moment did."
it	outcome.success.easy.pool	ENGLISH_LIKE	7	"Light fell evenly, ,
and every shadow vanished."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	7	"Light fell evenly, ,
and every shadow vanished."
it	outcome.success.easy.pool	ENGLISH_LIKE	8	"The wind fell silent.
and everything returned to where it belonged."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	8	"The wind fell silent.
and everything returned to where it belonged."
it	outcome.success.easy.pool	ENGLISH_LIKE	9	"A moment of silence.
The world steadied its breath."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	9	"A moment of silence.
The world steadied its breath."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	10	"The record is etched deep in the sand—
beyond the reach of the wind."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	11	"Harmony was restored.
Everything had been for this moment."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	12	"Time slipped by in silence,
tucked away in the corners of memory."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	13	"The sky shifted in color,
and one story came to its end."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	14	"The waves grew calm,
and the sea hid its depths once more."
it	outcome.success.easy.pool	ENGLISH_LIKE	15	"The footsteps stopped,
and only the place remained."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	15	"The footsteps stopped,
and only the place remained."
it	outcome.success.easy.pool	ENGLISH_LIKE	16	"Victory and defeat 
are nothing more than grains of sand."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	16	"Victory and defeat 
are nothing more than grains of sand."
it	outcome.success.easy.pool	ENGLISH_LIKE	17	"The road goes on—or it ends.
Either way, it lies on the same earth."
it	outcome.success.easy.pool	ITALIAN_HINT_MISSING	17	"The road goes on—or it ends.
Either way, it lies on the same earth."
it	outcome.success.normal.pool	COUNT	35	35
it	outcome.success.normal.pool	ENGLISH_LIKE	1	"The distance has found its meaning.
Time has rewarded your journey."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	1	"The distance has found its meaning.
Time has rewarded your journey."
it	outcome.success.normal.pool	ENGLISH_LIKE	2	"The time is up.
but the rest is far from over."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	2	"The time is up.
but the rest is far from over."
it	outcome.success.normal.pool	ENGLISH_LIKE	3	"The axis is found.
the world has cased its motion."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	3	"The axis is found.
the world has cased its motion."
it	outcome.success.normal.pool	ENGLISH_LIKE	4	"The glass held its breath,
and you held your ground."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	4	"The glass held its breath,
and you held your ground."
it	outcome.success.normal.pool	ENGLISH_LIKE	5	"Under the stillness of the sky,
your spirit did not waver."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	5	"Under the stillness of the sky,
your spirit did not waver."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	6	"Few things shine forever.
but this moment was radiant."
it	outcome.success.normal.pool	ENGLISH_LIKE	7	"You traversed the fragile earth,
without losing the view."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	7	"You traversed the fragile earth,
without losing the view."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	8	"The moment has passed.
The legacy remains."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	9	"Luck fades fast.
order endures."
it	outcome.success.normal.pool	ENGLISH_LIKE	10	"The sky knows no pause in endless circle,
nor shall you find yours."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	10	"The sky knows no pause in endless circle,
nor shall you find yours."
it	outcome.success.normal.pool	ENGLISH_LIKE	11	"The center has been reached.
The world stood still."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	11	"The center has been reached.
The world stood still."
it	outcome.success.normal.pool	ENGLISH_LIKE	12	"Finally here.
The truth remains unyielding."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	12	"Finally here.
The truth remains unyielding."
it	outcome.success.normal.pool	ENGLISH_LIKE	13	"You have seen it through.
And mark this: it was you, and no one else, who chose this path."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	13	"You have seen it through.
And mark this: it was you, and no one else, who chose this path."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	14	"Time drifted into silence,
finding its place in the recesses of the mind."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	15	"As the sky transformed,
the tale found its final resolved."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	16	"The waters fell calm,
and the sky once more veiled its abyss."
it	outcome.success.normal.pool	ENGLISH_LIKE	17	"The footsteps ceased,
only the place remained."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	17	"The footsteps ceased,
only the place remained."
it	outcome.success.normal.pool	ENGLISH_LIKE	18	"Light fell evenly, ,
and every shadow vanished."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	18	"Light fell evenly, ,
and every shadow vanished."
it	outcome.success.normal.pool	ENGLISH_LIKE	19	"The wind fell silent.
and everything returned to where it belonged."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	19	"The wind fell silent.
and everything returned to where it belonged."
it	outcome.success.normal.pool	ENGLISH_LIKE	20	"A moment of silence.
The world steadied its breath."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	20	"A moment of silence.
The world steadied its breath."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	21	"The record is etched deep in the sand—
beyond the reach of the wind."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	22	"Harmony was restored.
Everything had been for this moment."
it	outcome.success.normal.pool	ENGLISH_LIKE	23	"RUN COMPLETE.
Clear. Found it.
That's enough."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	23	"RUN COMPLETE.
Clear. Found it.
That's enough."
it	outcome.success.normal.pool	ENGLISH_LIKE	24	"RUN COMPLETE.
The path held.
So did you."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	24	"RUN COMPLETE.
The path held.
So did you."
it	outcome.success.normal.pool	ENGLISH_LIKE	25	"The sky has kept moving.
So can you."
it	outcome.success.normal.pool	ITALIAN_HINT_MISSING	25	"The sky has kept moving.
So can you."
it	outcome.success.normal.pool	ENGLISH_LIKE	26	"RUN COMPLETE.
A quiet result.
The weight of real work."
