lang	pool	kind	meta	value
de	outcome.success.easy.pool	COUNT	17	
de	outcome.success.easy.pool	ENGLISH_LIKE_1		You’ve made it.\nThe truth remains.
de	outcome.success.easy.pool	ENGLISH_LIKE_2		Even if it was only a small step,\nyou held your ground.
de	outcome.success.easy.pool	ENGLISH_LIKE_3		You listened.\n The path opened.
de	outcome.success.easy.pool	ENGLISH_LIKE_4		> You made it here\n> \n> The rules were simple —\n> \n> the choice was yours.
de	outcome.success.easy.pool	ENGLISH_LIKE_5		> Distance became meaning.\n> \n> and time answered your footsteps.
de	outcome.success.easy.pool	ENGLISH_LIKE_7		Light fell evenly, ,\nand every shadow vanished.
de	outcome.success.easy.pool	ENGLISH_LIKE_8		Der Wind verstummte,\nund alles kehrte an seinen Platz zurück.
de	outcome.success.easy.pool	ENGLISH_LIKE_9		A moment of silence.\nThe world steadied its breath.
de	outcome.success.easy.pool	ENGLISH_LIKE_10		The record is etched deep in the sand—\nbeyond the reach of the wind.
de	outcome.success.easy.pool	ENGLISH_LIKE_12		Time slipped by in silence,\ntucked away in the corners of memory.
de	outcome.success.easy.pool	ENGLISH_LIKE_13		The sky shifted in color,\nand one story came to its end.
de	outcome.success.easy.pool	ENGLISH_LIKE_14		The waves grew calm,\nand the sea hid its depths once more.
de	outcome.success.easy.pool	ENGLISH_LIKE_15		The footsteps stopped,\nand only the place remained.
de	outcome.success.easy.pool	ENGLISH_LIKE_16		Victory and defeat \nare nothing more than grains of sand.
de	outcome.success.easy.pool	ENGLISH_LIKE_17		The road goes on—or it ends.\nEither way, it lies on the same earth.
de	outcome.success.normal.pool	COUNT	35	
de	outcome.success.normal.pool	ENGLISH_LIKE_1		The distance has found its meaning.\nTime has rewarded your journey.
de	outcome.success.normal.pool	ENGLISH_LIKE_2		The time is up.\nbut the rest is far from over.
de	outcome.success.normal.pool	ENGLISH_LIKE_3		The axis is found.\nthe world has cased its motion.
de	outcome.success.normal.pool	ENGLISH_LIKE_4		The glass held its breath,\nand you held your ground.
de	outcome.success.normal.pool	ENGLISH_LIKE_5		Under the stillness of the sky,\nyour spirit did not waver.
de	outcome.success.normal.pool	ENGLISH_LIKE_7		You traversed the fragile earth,\nwithout losing the view.
de	outcome.success.normal.pool	ENGLISH_LIKE_8		The moment has passed.\nThe legacy remains.
de	outcome.success.normal.pool	ENGLISH_LIKE_10		The sky knows no pause in endless circle,\nnor shall you find yours.
de	outcome.success.normal.pool	ENGLISH_LIKE_11		The center has been reached.\nThe world stood still.
de	outcome.success.normal.pool	ENGLISH_LIKE_12		Finally here.\nThe truth remains unyielding.
de	outcome.success.normal.pool	ENGLISH_LIKE_13		You have seen it through.\nAnd mark this: it was you, and no one else, who chose this path.
de	outcome.success.normal.pool	ENGLISH_LIKE_14		Time drifted into silence,\nfinding its place in the recesses of the mind.
de	outcome.success.normal.pool	ENGLISH_LIKE_15		As the sky transformed,\nthe tale found its final resolved.
de	outcome.success.normal.pool	ENGLISH_LIKE_16		The waters fell calm,\nand the sky once more veiled its abyss.
de	outcome.success.normal.pool	ENGLISH_LIKE_17		The footsteps ceased,\nonly the place remained.
de	outcome.success.normal.pool	ENGLISH_LIKE_18		Light fell evenly, ,\nand every shadow vanished.
de	outcome.success.normal.pool	ENGLISH_LIKE_19		Der Wind verstummte,\nund alles kehrte an seinen Platz zurück.
de	outcome.success.normal.pool	ENGLISH_LIKE_20		A moment of silence.\nThe world steadied its breath.
de	outcome.success.normal.pool	ENGLISH_LIKE_21		The record is etched deep in the sand—\nbeyond the reach of the wind.
