bucket	key	value
INTERNAL	game.auto.stagemobcontrollistener_refl_08ad690a	⚠ StageMobControlListener: カウントダウン判定(reflection)に失敗。ゲーム中のみ制御します。原因:
INTERNAL	game.auto.stagemobcontrollistener_refl_d8a61972	⚠ StageMobControlListener: reflection初期化に失敗。ゲーム中のみ制御します。原因:
INTERNAL	game.auto.dj_triggerultimatedjevent_eb01ecae	DJイベントはすでに実行中のため、triggerUltimateDJEvent をスキップしました。
REVIEW	outcome.success.easy.pool	['You’ve made it.\nThe truth remains.', 'Even if it was only a small step,\nyou held your ground.', 'You listened.\n The path opened.', '> You made it here\n> \n> The rules were simple —\n> \n> the choice was yours.', '> Distance became meaning.\n> \n> and time answered your footsteps.', '> Not everything shines forever.\n> \n> But this moment did.', 'Light fell evenly, ,\nand every shadow vanished.', 'The wind fell silent.\nand everything returned to where it belonged.', 'A moment of silence.\nThe world steadied its breath.', 'The record is etched deep in the sand—\nbeyond the reach of the wind.', 'Harmony was restored.\nEverything had been for this moment.', 'Time slipped by in silence,\ntucked away in the corners of memory.', 'The sky shifted in color,\nand one story came to its end.', 'The waves grew calm,\nand the sea hid its depths once more.', 'The footsteps stopped,\nand only the place remained.', 'Victory and defeat \nare nothing more than grains of sand.', 'The road goes on—or it ends.\nEither way, it lies on the same earth.']
REVIEW	outcome.success.normal.pool	"['The distance has found its meaning.\nTime has rewarded your journey.', 'The time is up.\nbut the rest is far from over.', 'The axis is found.\nthe world has cased its motion.', 'The glass held its breath,\nand you held your ground.', 'Under the stillness of the sky,\nyour spirit did not waver.', 'Few things shine forever.\nbut this moment was radiant.', 'You traversed the fragile earth,\nwithout losing the view.', 'The moment has passed.\nThe legacy remains.', 'Luck fades fast.\norder endures.', 'The sky knows no pause in endless circle,\nnor shall you find yours.', 'The center has been reached.\nThe world stood still.', 'Finally here.\nThe truth remains unyielding.', 'You have seen it through.\nAnd mark this: it was you, and no one else, who chose this path.', 'Time drifted into silence,\nfinding its place in the recesses of the mind.', 'As the sky transformed,\nthe tale found its final resolved.', 'The waters fell calm,\nand the sky once more veiled its abyss.', 'The footsteps ceased,\nonly the place remained.', 'Light fell evenly, ,\nand every shadow vanished.', 'The wind fell silent.\nand everything returned to where it belonged.', 'A moment of silence.\nThe world steadied its breath.', 'The record is etched deep in the sand—\nbeyond the reach of the wind.', 'Harmony was restored.\nEverything had been for this moment.', ""RUN COMPLETE.\nClear. Found it.\nThat's enough."", 'RUN COMPLETE.\nThe path held.\nSo did you.', 'The sky has kept moving.\nSo can you.', 'RUN COMPLETE.\nA quiet result.\nThe weight of real work.', 'You only walked the path\nthe world had laid out for you.', 'The ground didn’t give way.\nIt trusted your steps.', 'This moment aligned\nwith the stars’ ancient rhythm.', 'You didn’t take anything.\n You understood something.', 'You didn’t gain a thing.\nYou only saw the truth for what it was.', 'You didn’t take this place.\nYou belonged here.', 'You walked a road\nolder than memory itself.', 'The earth did not resist.\nIt recognized you.', 'This moment aligned\n with the stillness of the stars.']"
REVIEW	outcome.success.hard.pool	['In the north wind,\nclarity outlasts speed.', 'The center was found.\n The world came to rest.', 'The stars stay silent.\nYour record does the speaking.', 'The result  remained.\nThe position changed.', 'Between ice and glass,\nyou chose control.', 'The waves fell quiet,\nand the sea reclaimed its hidden depths.', 'Some treasures still await.\nNext time, a different path.', 'The sky didn’t change.\nYou did.', 'The moment passed.\nWhat remained was order.', 'Winter is honest.\nSo was your run.', 'The stars aligned for a moment.\nYou noticed.', 'The distance closed.\nTime did not.', 'The world’s rules stood firm.\n And the signal of possibility was real.', 'The path closed quietly.\nYou were already through.', 'Nothing changed.\nOnly your position did.', 'Not luck.\nAlignment.', 'The moment passed.\nThe record remains.', 'The outcome didn’t change.\nStill, you moved forward.', 'The output didn’t change.\nBut you reached a new level.', 'The ending was the same.\nBut the one who reached it had changed.', 'The destination is the same\n—but you’re no longer the traveler you once were.', 'Light fell evenly, ,\nand every shadow vanished.', 'The wind fell silent.\nand everything returned to where it belonged.', 'A moment of silence.\nThe world steadied its breath.', 'The record is etched deep in the sand—\nbeyond the reach of the wind.', 'Harmony was restored.\nEverything had been for this moment.', 'Time slipped by in silence,\ntucked away in the corners of memory.', 'The sky shifted in color,\nand one story came to its end.', 'The waves grew calm,\nand the sea hid its depths once more.', 'The footsteps stopped,\nand only the place remained.', 'Victory and defeat \nare nothing more than grains of sand.', 'The road goes on—or it ends.\nEither way, it lies on the same earth.']
REVIEW	outcome.timeup.easy.pool	"['Time ran out.\nNothing else did.', 'The treasure can wait.\nSo can you.', 'Breathe in.\nThen again.', 'That’s all for now.\nOn to the next step.', ""You're still here.\nThat’s what matters."", 'The run ended.\nYou didn’t.', ""TIME'S UP.\nThe run ended.\nYou didn't."", ""TIME'S UP.\nThe rules don’t change.\nAgain."", ""TIME'S UP.\n“So close” is real."", 'The sun sank,\nand shadow covered the world once again.', 'The last grains of sand fell,\nand the story quietly came to a close.', 'The wind swept through,\nand the footprints vanished without a trace.', 'The tide came in,\nWhat once had been there returned to the sea.', 'Silence.\nOnly time passed through.', 'Victory and defeat \nare nothing more than grains of sand.', 'The road goes on—or it ends.\nEither way, it lies on the same earth.']"
REVIEW	outcome.timeup.normal.pool	"['The distance closed.\nTime did not.', 'The world kept its rules.\nYou touched the edge.', 'You didn’t make it.\nBut the signal was real.', 'Some treasures still await.\nLet’s try a different path.', 'The result remained.\nThe position changed.', ""Time ran out.\nMeaning didn't."", 'So close.\nThe sound said so.', 'The map is still open.\nCome back to it.', 'The world’s rules stood firm.\nThe signal of possibility was real.', 'The world kept its rules.', 'The moment passed.\nThe record remains.', 'The sun sank,\nand shadow covered the world once again.', 'The last grains of sand fell,\nand the story quietly came to a close.', 'The wind swept through,\nand the footprints vanished without a trace.', 'The tide came in,\nWhat once had been there returned to the sea.', 'Silence.\nOnly time passed through.', 'Victory and defeat \nare nothing more than grains of sand.', 'The road goes on—or it ends.\nEither way, it lies on the same earth.', '> Time ran out.\n> \n> Nothing else did.', '> The outcome didn’t change.\n> \n> But your position did.']"
REVIEW	outcome.timeup.hard.pool	['Even the aurora fades.\nCome back with a new stride.', 'In a fragile world,\nhaste shatters clarity before it can be found.', 'The moment slipped away.\nThe meaning did not.', 'Winter is patient.\nBe the same.', 'The sky kept moving.\nSo will you.', 'The story moves on.\nThe end is not yet.', 'The stars were there, watching.\nAgain.', 'Ice takes its time.\nNeither do you.', 'The sky kept moving.\nSo can you.', 'The north has learned to wait.\nSo should you.', 'This is an interlude\n—It’s not over.', 'Like drifting clouds,\ndon’t lose your flow—like a river.', 'The sound was near.\nThe distance was real.\nBut that moment can’t be saved.', 'You were closing in.\nOnly time wasn’t.', 'The world held to its rules.\nYou touched the edge of them.', 'You didn’t reach the treasure. \nBut the signal was real.', 'Nothing changed.\nOnly your position did.', 'It wasn’t luck.\nAlignment.', 'The moment slipped away,\nbut the record stayed.', 'You crossed fragile ground\nand left the horizon unbroken.', 'Nothing changed.\n Only your position did.\nNot luck.\nAlignment.\nThe moment passed.\nThe record remains.', 'The sun sank,\nand shadow covered the world once again.', 'The last grains of sand fell,\nand the story quietly came to a close.', 'The wind swept through,\nand the footprints vanished without a trace.', 'The tide came in,\nWhat once had been there returned to the sea.', 'Silence.\nOnly time passed through.', 'Victory and defeat \nare nothing more than grains of sand.', 'The road goes on—or it ends.\nEither way, it lies on the same earth.', 'The season closed.\nThe land remained.', 'The path The path remains.\nOnly your steps stopped.', 'Your time ran out.\nThe sky didn’t.', 'It wasn’t rejection.\nOnly silence.', 'The world is still intact.\nYou can return—changed.', 'The season ended.\nThe forest remains.', 'The distance was closing.\nTime kept its rhythm.', 'Your time came to a halt.\nThe sky kept moving.', 'Not rejection\nJust silence.', 'The path is still here.\nYou can come back—changed.']
REVIEW	command.quoteFavorite.help.bookSuccess	&7/quoteFavorite book success - öppna SUCCESS-citatboken
REVIEW	commands.debug_mode_is_off_config_yml_b3d27428	Debug mode is OFF. config.yml の debug: true にしてください
REVIEW	commands.quotefavorite_book_success_o_afe31501	/quoteFavorite book success    - öppna SUCCESS-kapitlet
REVIEW	commands.success_normal_en_the_obstac_b627a544	【SUCCESS / Normal / en】\nHindret är vägen.
