lang	pool	kind	meta	value
fi	outcome.success.easy.pool	COUNT	17	17
fi	outcome.success.easy.pool	ENGLISH_LIKE	1	"You’ve made it.
The truth remains."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	1	"You’ve made it.
The truth remains."
fi	outcome.success.easy.pool	ENGLISH_LIKE	2	"Even if it was only a small step,
you held your ground."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	2	"Even if it was only a small step,
you held your ground."
fi	outcome.success.easy.pool	ENGLISH_LIKE	3	"You listened.
 The path opened."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	3	"You listened.
 The path opened."
fi	outcome.success.easy.pool	ENGLISH_LIKE	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
fi	outcome.success.easy.pool	ENGLISH_LIKE	5	"> Distance became meaning.
> 
> and time answered your footsteps."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	5	"> Distance became meaning.
> 
> and time answered your footsteps."
fi	outcome.success.easy.pool	ENGLISH_LIKE	6	"> Not everything shines forever.
> 
> But this moment did."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	6	"> Not everything shines forever.
> 
> But this moment did."
fi	outcome.success.easy.pool	ENGLISH_LIKE	7	"Light fell evenly, ,
and every shadow vanished."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	7	"Light fell evenly, ,
and every shadow vanished."
fi	outcome.success.easy.pool	ENGLISH_LIKE	8	"The wind fell silent.
and everything returned to where it belonged."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	8	"The wind fell silent.
and everything returned to where it belonged."
fi	outcome.success.easy.pool	ENGLISH_LIKE	9	"A moment of silence.
The world steadied its breath."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	9	"A moment of silence.
The world steadied its breath."
fi	outcome.success.easy.pool	ENGLISH_LIKE	10	"The record is etched deep in the sand—
beyond the reach of the wind."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	10	"The record is etched deep in the sand—
beyond the reach of the wind."
fi	outcome.success.easy.pool	ENGLISH_LIKE	11	"Harmony was restored.
Everything had been for this moment."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	11	"Harmony was restored.
Everything had been for this moment."
fi	outcome.success.easy.pool	ENGLISH_LIKE	12	"Time slipped by in silence,
tucked away in the corners of memory."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	12	"Time slipped by in silence,
tucked away in the corners of memory."
fi	outcome.success.easy.pool	ENGLISH_LIKE	13	"The sky shifted in color,
and one story came to its end."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	13	"The sky shifted in color,
and one story came to its end."
fi	outcome.success.easy.pool	ENGLISH_LIKE	14	"The waves grew calm,
and the sea hid its depths once more."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	14	"The waves grew calm,
and the sea hid its depths once more."
fi	outcome.success.easy.pool	ENGLISH_LIKE	15	"The footsteps stopped,
and only the place remained."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	15	"The footsteps stopped,
and only the place remained."
fi	outcome.success.easy.pool	ENGLISH_LIKE	16	"Victory and defeat 
are nothing more than grains of sand."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	16	"Victory and defeat 
are nothing more than grains of sand."
fi	outcome.success.easy.pool	ENGLISH_LIKE	17	"The road goes on—or it ends.
Either way, it lies on the same earth."
fi	outcome.success.easy.pool	FINNISH_HINT_MISSING	17	"The road goes on—or it ends.
Either way, it lies on the same earth."
fi	outcome.success.normal.pool	COUNT	35	35
fi	outcome.success.normal.pool	ENGLISH_LIKE	1	"The distance has found its meaning.
Time has rewarded your journey."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	1	"The distance has found its meaning.
Time has rewarded your journey."
fi	outcome.success.normal.pool	ENGLISH_LIKE	2	"The time is up.
but the rest is far from over."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	2	"The time is up.
but the rest is far from over."
fi	outcome.success.normal.pool	ENGLISH_LIKE	3	"The axis is found.
the world has cased its motion."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	3	"The axis is found.
the world has cased its motion."
fi	outcome.success.normal.pool	ENGLISH_LIKE	4	"The glass held its breath,
and you held your ground."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	4	"The glass held its breath,
and you held your ground."
fi	outcome.success.normal.pool	ENGLISH_LIKE	5	"Under the stillness of the sky,
your spirit did not waver."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	5	"Under the stillness of the sky,
your spirit did not waver."
fi	outcome.success.normal.pool	ENGLISH_LIKE	6	"Few things shine forever.
but this moment was radiant."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	6	"Few things shine forever.
but this moment was radiant."
fi	outcome.success.normal.pool	ENGLISH_LIKE	7	"You traversed the fragile earth,
without losing the view."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	7	"You traversed the fragile earth,
without losing the view."
fi	outcome.success.normal.pool	ENGLISH_LIKE	8	"The moment has passed.
The legacy remains."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	8	"The moment has passed.
The legacy remains."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	9	"Luck fades fast.
order endures."
fi	outcome.success.normal.pool	ENGLISH_LIKE	10	"The sky knows no pause in endless circle,
nor shall you find yours."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	10	"The sky knows no pause in endless circle,
nor shall you find yours."
fi	outcome.success.normal.pool	ENGLISH_LIKE	11	"The center has been reached.
The world stood still."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	11	"The center has been reached.
The world stood still."
fi	outcome.success.normal.pool	ENGLISH_LIKE	12	"Finally here.
The truth remains unyielding."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	12	"Finally here.
The truth remains unyielding."
fi	outcome.success.normal.pool	ENGLISH_LIKE	13	"You have seen it through.
And mark this: it was you, and no one else, who chose this path."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	13	"You have seen it through.
And mark this: it was you, and no one else, who chose this path."
fi	outcome.success.normal.pool	ENGLISH_LIKE	14	"Time drifted into silence,
finding its place in the recesses of the mind."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	14	"Time drifted into silence,
finding its place in the recesses of the mind."
fi	outcome.success.normal.pool	ENGLISH_LIKE	15	"As the sky transformed,
the tale found its final resolved."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	15	"As the sky transformed,
the tale found its final resolved."
fi	outcome.success.normal.pool	ENGLISH_LIKE	16	"The waters fell calm,
and the sky once more veiled its abyss."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	16	"The waters fell calm,
and the sky once more veiled its abyss."
fi	outcome.success.normal.pool	ENGLISH_LIKE	17	"The footsteps ceased,
only the place remained."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	17	"The footsteps ceased,
only the place remained."
fi	outcome.success.normal.pool	ENGLISH_LIKE	18	"Light fell evenly, ,
and every shadow vanished."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	18	"Light fell evenly, ,
and every shadow vanished."
fi	outcome.success.normal.pool	ENGLISH_LIKE	19	"The wind fell silent.
and everything returned to where it belonged."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	19	"The wind fell silent.
and everything returned to where it belonged."
fi	outcome.success.normal.pool	ENGLISH_LIKE	20	"A moment of silence.
The world steadied its breath."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	20	"A moment of silence.
The world steadied its breath."
fi	outcome.success.normal.pool	ENGLISH_LIKE	21	"The record is etched deep in the sand—
beyond the reach of the wind."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	21	"The record is etched deep in the sand—
beyond the reach of the wind."
fi	outcome.success.normal.pool	ENGLISH_LIKE	22	"Harmony was restored.
Everything had been for this moment."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	22	"Harmony was restored.
Everything had been for this moment."
fi	outcome.success.normal.pool	ENGLISH_LIKE	23	"RUN COMPLETE.
Clear. Found it.
That's enough."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	23	"RUN COMPLETE.
Clear. Found it.
That's enough."
fi	outcome.success.normal.pool	ENGLISH_LIKE	24	"RUN COMPLETE.
The path held.
So did you."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	24	"RUN COMPLETE.
The path held.
So did you."
fi	outcome.success.normal.pool	ENGLISH_LIKE	25	"The sky has kept moving.
So can you."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	25	"The sky has kept moving.
So can you."
fi	outcome.success.normal.pool	ENGLISH_LIKE	26	"RUN COMPLETE.
A quiet result.
The weight of real work."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	26	"RUN COMPLETE.
A quiet result.
The weight of real work."
fi	outcome.success.normal.pool	ENGLISH_LIKE	27	"You only walked the path
the world had laid out for you."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	27	"You only walked the path
the world had laid out for you."
fi	outcome.success.normal.pool	ENGLISH_LIKE	28	"The ground didn’t give way.
It trusted your steps."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	28	"The ground didn’t give way.
It trusted your steps."
fi	outcome.success.normal.pool	ENGLISH_LIKE	29	"This moment aligned
with the stars’ ancient rhythm."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	29	"This moment aligned
with the stars’ ancient rhythm."
fi	outcome.success.normal.pool	ENGLISH_LIKE	30	"You didn’t take anything.
 You understood something."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	30	"You didn’t take anything.
 You understood something."
fi	outcome.success.normal.pool	ENGLISH_LIKE	31	"You didn’t gain a thing.
You only saw the truth for what it was."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	31	"You didn’t gain a thing.
You only saw the truth for what it was."
fi	outcome.success.normal.pool	ENGLISH_LIKE	32	"You didn’t take this place.
You belonged here."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	32	"You didn’t take this place.
You belonged here."
fi	outcome.success.normal.pool	ENGLISH_LIKE	33	"You walked a road
older than memory itself."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	33	"You walked a road
older than memory itself."
fi	outcome.success.normal.pool	ENGLISH_LIKE	34	"The earth did not resist.
It recognized you."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	34	"The earth did not resist.
It recognized you."
fi	outcome.success.normal.pool	ENGLISH_LIKE	35	"This moment aligned
 with the stillness of the stars."
fi	outcome.success.normal.pool	FINNISH_HINT_MISSING	35	"This moment aligned
 with the stillness of the stars."
fi	outcome.success.hard.pool	COUNT	32	32
fi	outcome.success.hard.pool	ENGLISH_LIKE	1	"In the north wind,
clarity outlasts speed."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	1	"In the north wind,
clarity outlasts speed."
fi	outcome.success.hard.pool	ENGLISH_LIKE	2	"The center was found.
 The world came to rest."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	2	"The center was found.
 The world came to rest."
fi	outcome.success.hard.pool	ENGLISH_LIKE	3	"The stars stay silent.
Your record does the speaking."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	3	"The stars stay silent.
Your record does the speaking."
fi	outcome.success.hard.pool	ENGLISH_LIKE	4	"The result  remained.
The position changed."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	4	"The result  remained.
The position changed."
fi	outcome.success.hard.pool	ENGLISH_LIKE	5	"Between ice and glass,
you chose control."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	5	"Between ice and glass,
you chose control."
fi	outcome.success.hard.pool	ENGLISH_LIKE	6	"The waves fell quiet,
and the sea reclaimed its hidden depths."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	6	"The waves fell quiet,
and the sea reclaimed its hidden depths."
fi	outcome.success.hard.pool	ENGLISH_LIKE	7	"Some treasures still await.
Next time, a different path."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	7	"Some treasures still await.
Next time, a different path."
fi	outcome.success.hard.pool	ENGLISH_LIKE	8	"The sky didn’t change.
You did."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	8	"The sky didn’t change.
You did."
fi	outcome.success.hard.pool	ENGLISH_LIKE	9	"The moment passed.
What remained was order."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	9	"The moment passed.
What remained was order."
fi	outcome.success.hard.pool	ENGLISH_LIKE	10	"Winter is honest.
So was your run."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	10	"Winter is honest.
So was your run."
fi	outcome.success.hard.pool	ENGLISH_LIKE	11	"The stars aligned for a moment.
You noticed."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	11	"The stars aligned for a moment.
You noticed."
fi	outcome.success.hard.pool	ENGLISH_LIKE	12	"The distance closed.
Time did not."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	12	"The distance closed.
Time did not."
fi	outcome.success.hard.pool	ENGLISH_LIKE	13	"The world’s rules stood firm.
 And the signal of possibility was real."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	13	"The world’s rules stood firm.
 And the signal of possibility was real."
fi	outcome.success.hard.pool	ENGLISH_LIKE	14	"The path closed quietly.
You were already through."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	14	"The path closed quietly.
You were already through."
fi	outcome.success.hard.pool	ENGLISH_LIKE	15	"Nothing changed.
Only your position did."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	15	"Nothing changed.
Only your position did."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	16	"Not luck.
Alignment."
fi	outcome.success.hard.pool	ENGLISH_LIKE	17	"The moment passed.
The record remains."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	17	"The moment passed.
The record remains."
fi	outcome.success.hard.pool	ENGLISH_LIKE	18	"The outcome didn’t change.
Still, you moved forward."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	18	"The outcome didn’t change.
Still, you moved forward."
fi	outcome.success.hard.pool	ENGLISH_LIKE	19	"The output didn’t change.
But you reached a new level."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	19	"The output didn’t change.
But you reached a new level."
fi	outcome.success.hard.pool	ENGLISH_LIKE	20	"The ending was the same.
But the one who reached it had changed."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	20	"The ending was the same.
But the one who reached it had changed."
fi	outcome.success.hard.pool	ENGLISH_LIKE	21	"The destination is the same
—but you’re no longer the traveler you once were."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	21	"The destination is the same
—but you’re no longer the traveler you once were."
fi	outcome.success.hard.pool	ENGLISH_LIKE	22	"Light fell evenly, ,
and every shadow vanished."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	22	"Light fell evenly, ,
and every shadow vanished."
fi	outcome.success.hard.pool	ENGLISH_LIKE	23	"The wind fell silent.
and everything returned to where it belonged."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	23	"The wind fell silent.
and everything returned to where it belonged."
fi	outcome.success.hard.pool	ENGLISH_LIKE	24	"A moment of silence.
The world steadied its breath."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	24	"A moment of silence.
The world steadied its breath."
fi	outcome.success.hard.pool	ENGLISH_LIKE	25	"The record is etched deep in the sand—
beyond the reach of the wind."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	25	"The record is etched deep in the sand—
beyond the reach of the wind."
fi	outcome.success.hard.pool	ENGLISH_LIKE	26	"Harmony was restored.
Everything had been for this moment."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	26	"Harmony was restored.
Everything had been for this moment."
fi	outcome.success.hard.pool	ENGLISH_LIKE	27	"Time slipped by in silence,
tucked away in the corners of memory."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	27	"Time slipped by in silence,
tucked away in the corners of memory."
fi	outcome.success.hard.pool	ENGLISH_LIKE	28	"The sky shifted in color,
and one story came to its end."
fi	outcome.success.hard.pool	FINNISH_HINT_MISSING	28	"The sky shifted in color,
and one story came to its end."
