lang	pool	kind	meta	value
de	outcome.success.easy.pool	COUNT	3	
de	outcome.success.easy.pool	COUNT_MISMATCH	expected=17	actual=3
de	outcome.success.easy.pool	ENGLISH_LIKE_1		> Nichts leuchtet ewig.\n> \n> Aber dieser Moment tat es.
de	outcome.success.easy.pool	ENGLISH_LIKE_2		Der Wind verstummte,\nund alles kehrte an seinen Platz zurück.
de	outcome.success.easy.pool	ENGLISH_LIKE_3		Die Harmonie kehrte zurück.\nAlles führte zu diesem Moment.
de	outcome.success.normal.pool	COUNT	3	
de	outcome.success.normal.pool	COUNT_MISMATCH	expected=35	actual=3
de	outcome.success.normal.pool	ENGLISH_LIKE_1		Wenig leuchtet für immer.\nDoch dieser Moment strahlte.
de	outcome.success.normal.pool	ENGLISH_LIKE_2		Der Wind verstummte,\nund alles kehrte an seinen Platz zurück.
de	outcome.success.normal.pool	ENGLISH_LIKE_3		Die Harmonie kehrte zurück.\nAlles führte zu diesem Moment.
de	outcome.success.hard.pool	COUNT	32	
de	outcome.timeup.easy.pool	COUNT	16	
de	outcome.timeup.normal.pool	COUNT	1	
de	outcome.timeup.normal.pool	COUNT_MISMATCH	expected=20	actual=1
de	outcome.timeup.normal.pool	ENGLISH_LIKE_1		Der Moment ist vorbei.\nDie Spur bleibt.
de	outcome.timeup.hard.pool	COUNT	2	
de	outcome.timeup.hard.pool	COUNT_MISMATCH	expected=38	actual=2
de	outcome.timeup.hard.pool	ENGLISH_LIKE_1		Der Moment ist vergangen,\naber die Spur blieb.
de	outcome.timeup.hard.pool	ENGLISH_LIKE_2		Der Wind zog hindurch,\nund die Spuren vergingen spurlos.
