lang	pool	kind	meta	value
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	1	"You’ve made it.
The truth remains."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	2	"Even if it was only a small step,
you held your ground."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	3	"You listened.
 The path opened."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	5	"> Distance became meaning.
> 
> and time answered your footsteps."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	6	"> Not everything shines forever.
> 
> But this moment did."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	7	"Light fell evenly, ,
and every shadow vanished."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	8	"The wind fell silent.
and everything returned to where it belonged."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	9	"A moment of silence.
The world steadied its breath."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	10	"The record is etched deep in the sand—
beyond the reach of the wind."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	11	"Harmony was restored.
Everything had been for this moment."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	12	"Time slipped by in silence,
tucked away in the corners of memory."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	13	"The sky shifted in color,
and one story came to its end."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	14	"The waves grew calm,
and the sea hid its depths once more."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	15	"The footsteps stopped,
and only the place remained."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	16	"Victory and defeat 
are nothing more than grains of sand."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	17	"The road goes on—or it ends.
Either way, it lies on the same earth."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	1	"The distance has found its meaning.
Time has rewarded your journey."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	2	"The time is up.
but the rest is far from over."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	3	"The axis is found.
the world has cased its motion."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	4	"The glass held its breath,
and you held your ground."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	5	"Under the stillness of the sky,
your spirit did not waver."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	6	"Few things shine forever.
but this moment was radiant."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	7	"You traversed the fragile earth,
without losing the view."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	8	"The moment has passed.
The legacy remains."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	10	"The sky knows no pause in endless circle,
nor shall you find yours."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	11	"The center has been reached.
The world stood still."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	12	"Finally here.
The truth remains unyielding."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	13	"You have seen it through.
And mark this: it was you, and no one else, who chose this path."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	14	"Time drifted into silence,
finding its place in the recesses of the mind."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	15	"As the sky transformed,
the tale found its final resolved."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	16	"The waters fell calm,
and the sky once more veiled its abyss."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	17	"The footsteps ceased,
only the place remained."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	18	"Light fell evenly, ,
and every shadow vanished."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	19	"The wind fell silent.
and everything returned to where it belonged."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	20	"A moment of silence.
The world steadied its breath."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	21	"The record is etched deep in the sand—
beyond the reach of the wind."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	22	"Harmony was restored.
Everything had been for this moment."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	23	"RUN COMPLETE.
Clear. Found it.
That's enough."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	24	"RUN COMPLETE.
The path held.
So did you."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	25	"The sky has kept moving.
So can you."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	26	"RUN COMPLETE.
A quiet result.
The weight of real work."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	27	"You only walked the path
the world had laid out for you."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	28	"The ground didn’t give way.
It trusted your steps."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	29	"This moment aligned
with the stars’ ancient rhythm."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	30	"You didn’t take anything.
 You understood something."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	31	"You didn’t gain a thing.
You only saw the truth for what it was."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	32	"You didn’t take this place.
You belonged here."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	33	"You walked a road
older than memory itself."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	34	"The earth did not resist.
It recognized you."
asl_gloss	outcome.success.normal.pool	ENGLISH_LIKE	35	"This moment aligned
 with the stillness of the stars."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	1	"In the north wind,
clarity outlasts speed."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	2	"The center was found.
 The world came to rest."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	3	"The stars stay silent.
Your record does the speaking."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	4	"The result  remained.
The position changed."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	5	"Between ice and glass,
you chose control."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	6	"The waves fell quiet,
and the sea reclaimed its hidden depths."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	7	"Some treasures still await.
Next time, a different path."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	8	"The sky didn’t change.
You did."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	9	"The moment passed.
What remained was order."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	10	"Winter is honest.
So was your run."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	11	"The stars aligned for a moment.
You noticed."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	12	"The distance closed.
Time did not."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	13	"The world’s rules stood firm.
 And the signal of possibility was real."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	14	"The path closed quietly.
You were already through."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	15	"Nothing changed.
Only your position did."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	17	"The moment passed.
The record remains."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	18	"The outcome didn’t change.
Still, you moved forward."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	19	"The output didn’t change.
But you reached a new level."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	20	"The ending was the same.
But the one who reached it had changed."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	21	"The destination is the same
—but you’re no longer the traveler you once were."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	22	"Light fell evenly, ,
and every shadow vanished."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	23	"The wind fell silent.
and everything returned to where it belonged."
asl_gloss	outcome.success.hard.pool	ENGLISH_LIKE	24	"A moment of silence.
The world steadied its breath."
