lang	pool	index	en_source	translation	note
hi	outcome.success.easy.pool	1	You’ve made it.\nThe truth remains.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	2	Even if it was only a small step,\nyou held your ground.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	3	You listened.\n The path opened.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	4	> You made it here\n> \n> The rules were simple —\n> \n> the choice was yours.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	5	> Distance became meaning.\n> \n> and time answered your footsteps.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	6	> Not everything shines forever.\n> \n> But this moment did.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	7	Light fell evenly, ,\nand every shadow vanished.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	8	The wind fell silent.\nand everything returned to where it belonged.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	9	A moment of silence.\nThe world steadied its breath.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	10	The record is etched deep in the sand—\nbeyond the reach of the wind.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	11	Harmony was restored.\nEverything had been for this moment.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	12	Time slipped by in silence,\ntucked away in the corners of memory.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	13	The sky shifted in color,\nand one story came to its end.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	14	The waves grew calm,\nand the sea hid its depths once more.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	15	The footsteps stopped,\nand only the place remained.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	16	Victory and defeat \nare nothing more than grains of sand.		exact_en_158_full_rebuild
hi	outcome.success.easy.pool	17	The road goes on—or it ends.\nEither way, it lies on the same earth.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	1	The distance has found its meaning.\nTime has rewarded your journey.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	2	The time is up.\nbut the rest is far from over.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	3	The axis is found.\nthe world has cased its motion.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	4	The glass held its breath,\nand you held your ground.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	5	Under the stillness of the sky,\nyour spirit did not waver.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	6	Few things shine forever.\nbut this moment was radiant.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	7	You traversed the fragile earth,\nwithout losing the view.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	8	The moment has passed.\nThe legacy remains.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	9	Luck fades fast.\norder endures.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	10	The sky knows no pause in endless circle,\nnor shall you find yours.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	11	The center has been reached.\nThe world stood still.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	12	Finally here.\nThe truth remains unyielding.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	13	You have seen it through.\nAnd mark this: it was you, and no one else, who chose this path.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	14	Time drifted into silence,\nfinding its place in the recesses of the mind.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	15	As the sky transformed,\nthe tale found its final resolved.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	16	The waters fell calm,\nand the sky once more veiled its abyss.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	17	The footsteps ceased,\nonly the place remained.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	18	Light fell evenly, ,\nand every shadow vanished.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	19	The wind fell silent.\nand everything returned to where it belonged.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	20	A moment of silence.\nThe world steadied its breath.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	21	The record is etched deep in the sand—\nbeyond the reach of the wind.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	22	Harmony was restored.\nEverything had been for this moment.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	23	RUN COMPLETE.\nClear. Found it.\nThat's enough.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	24	RUN COMPLETE.\nThe path held.\nSo did you.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	25	The sky has kept moving.\nSo can you.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	26	RUN COMPLETE.\nA quiet result.\nThe weight of real work.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	27	You only walked the path\nthe world had laid out for you.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	28	The ground didn’t give way.\nIt trusted your steps.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	29	This moment aligned\nwith the stars’ ancient rhythm.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	30	You didn’t take anything.\n You understood something.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	31	You didn’t gain a thing.\nYou only saw the truth for what it was.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	32	You didn’t take this place.\nYou belonged here.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	33	You walked a road\nolder than memory itself.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	34	The earth did not resist.\nIt recognized you.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	35	This moment aligned\n with the stillness of the stars.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	1	In the north wind,\nclarity outlasts speed.		exact_en_158_full_rebuild
hi	outcome.success.hard.pool	2	The center was found.\n The world came to rest.		exact_en_158_full_rebuild
