lang	pool	kind	meta	value
ru	outcome.success.easy.pool	COUNT	17	17
ru	outcome.success.easy.pool	CYRILLIC_MISSING	1	"You’ve made it.
The truth remains."
ru	outcome.success.easy.pool	ENGLISH_LIKE	1	"You’ve made it.
The truth remains."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	2	"Even if it was only a small step,
you held your ground."
ru	outcome.success.easy.pool	ENGLISH_LIKE	2	"Even if it was only a small step,
you held your ground."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	3	"You listened.
 The path opened."
ru	outcome.success.easy.pool	ENGLISH_LIKE	3	"You listened.
 The path opened."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
ru	outcome.success.easy.pool	ENGLISH_LIKE	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	5	"> Distance became meaning.
> 
> and time answered your footsteps."
ru	outcome.success.easy.pool	ENGLISH_LIKE	5	"> Distance became meaning.
> 
> and time answered your footsteps."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	6	"> Not everything shines forever.
> 
> But this moment did."
ru	outcome.success.easy.pool	ENGLISH_LIKE	6	"> Not everything shines forever.
> 
> But this moment did."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	7	"Light fell evenly, ,
and every shadow vanished."
ru	outcome.success.easy.pool	ENGLISH_LIKE	7	"Light fell evenly, ,
and every shadow vanished."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	8	"The wind fell silent.
and everything returned to where it belonged."
ru	outcome.success.easy.pool	ENGLISH_LIKE	8	"The wind fell silent.
and everything returned to where it belonged."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	9	"A moment of silence.
The world steadied its breath."
ru	outcome.success.easy.pool	ENGLISH_LIKE	9	"A moment of silence.
The world steadied its breath."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	10	"The record is etched deep in the sand—
beyond the reach of the wind."
ru	outcome.success.easy.pool	ENGLISH_LIKE	10	"The record is etched deep in the sand—
beyond the reach of the wind."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	11	"Harmony was restored.
Everything had been for this moment."
ru	outcome.success.easy.pool	ENGLISH_LIKE	11	"Harmony was restored.
Everything had been for this moment."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	12	"Time slipped by in silence,
tucked away in the corners of memory."
ru	outcome.success.easy.pool	ENGLISH_LIKE	12	"Time slipped by in silence,
tucked away in the corners of memory."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	13	"The sky shifted in color,
and one story came to its end."
ru	outcome.success.easy.pool	ENGLISH_LIKE	13	"The sky shifted in color,
and one story came to its end."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	14	"The waves grew calm,
and the sea hid its depths once more."
ru	outcome.success.easy.pool	ENGLISH_LIKE	14	"The waves grew calm,
and the sea hid its depths once more."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	15	"The footsteps stopped,
and only the place remained."
ru	outcome.success.easy.pool	ENGLISH_LIKE	15	"The footsteps stopped,
and only the place remained."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	16	"Victory and defeat 
are nothing more than grains of sand."
ru	outcome.success.easy.pool	ENGLISH_LIKE	16	"Victory and defeat 
are nothing more than grains of sand."
ru	outcome.success.easy.pool	CYRILLIC_MISSING	17	"The road goes on—or it ends.
Either way, it lies on the same earth."
ru	outcome.success.easy.pool	ENGLISH_LIKE	17	"The road goes on—or it ends.
Either way, it lies on the same earth."
ru	outcome.success.normal.pool	COUNT	35	35
ru	outcome.success.normal.pool	CYRILLIC_MISSING	1	"The distance has found its meaning.
Time has rewarded your journey."
ru	outcome.success.normal.pool	ENGLISH_LIKE	1	"The distance has found its meaning.
Time has rewarded your journey."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	2	"The time is up.
but the rest is far from over."
ru	outcome.success.normal.pool	ENGLISH_LIKE	2	"The time is up.
but the rest is far from over."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	3	"The axis is found.
the world has cased its motion."
ru	outcome.success.normal.pool	ENGLISH_LIKE	3	"The axis is found.
the world has cased its motion."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	4	"The glass held its breath,
and you held your ground."
ru	outcome.success.normal.pool	ENGLISH_LIKE	4	"The glass held its breath,
and you held your ground."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	5	"Under the stillness of the sky,
your spirit did not waver."
ru	outcome.success.normal.pool	ENGLISH_LIKE	5	"Under the stillness of the sky,
your spirit did not waver."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	6	"Few things shine forever.
but this moment was radiant."
ru	outcome.success.normal.pool	ENGLISH_LIKE	6	"Few things shine forever.
but this moment was radiant."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	7	"You traversed the fragile earth,
without losing the view."
ru	outcome.success.normal.pool	ENGLISH_LIKE	7	"You traversed the fragile earth,
without losing the view."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	8	"The moment has passed.
The legacy remains."
ru	outcome.success.normal.pool	ENGLISH_LIKE	8	"The moment has passed.
The legacy remains."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	9	"Luck fades fast.
order endures."
ru	outcome.success.normal.pool	ENGLISH_LIKE	9	"Luck fades fast.
order endures."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	10	"The sky knows no pause in endless circle,
nor shall you find yours."
ru	outcome.success.normal.pool	ENGLISH_LIKE	10	"The sky knows no pause in endless circle,
nor shall you find yours."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	11	"The center has been reached.
The world stood still."
ru	outcome.success.normal.pool	ENGLISH_LIKE	11	"The center has been reached.
The world stood still."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	12	"Finally here.
The truth remains unyielding."
ru	outcome.success.normal.pool	ENGLISH_LIKE	12	"Finally here.
The truth remains unyielding."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	13	"You have seen it through.
And mark this: it was you, and no one else, who chose "
ru	outcome.success.normal.pool	ENGLISH_LIKE	13	"You have seen it through.
And mark this: it was you, and no one else, who chose "
ru	outcome.success.normal.pool	CYRILLIC_MISSING	14	"Time drifted into silence,
finding its place in the recesses of the mind."
ru	outcome.success.normal.pool	ENGLISH_LIKE	14	"Time drifted into silence,
finding its place in the recesses of the mind."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	15	"As the sky transformed,
the tale found its final resolved."
ru	outcome.success.normal.pool	ENGLISH_LIKE	15	"As the sky transformed,
the tale found its final resolved."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	16	"The waters fell calm,
and the sky once more veiled its abyss."
ru	outcome.success.normal.pool	ENGLISH_LIKE	16	"The waters fell calm,
and the sky once more veiled its abyss."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	17	"The footsteps ceased,
only the place remained."
ru	outcome.success.normal.pool	ENGLISH_LIKE	17	"The footsteps ceased,
only the place remained."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	18	"Light fell evenly, ,
and every shadow vanished."
ru	outcome.success.normal.pool	ENGLISH_LIKE	18	"Light fell evenly, ,
and every shadow vanished."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	19	"The wind fell silent.
and everything returned to where it belonged."
ru	outcome.success.normal.pool	ENGLISH_LIKE	19	"The wind fell silent.
and everything returned to where it belonged."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	20	"A moment of silence.
The world steadied its breath."
ru	outcome.success.normal.pool	ENGLISH_LIKE	20	"A moment of silence.
The world steadied its breath."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	21	"The record is etched deep in the sand—
beyond the reach of the wind."
ru	outcome.success.normal.pool	ENGLISH_LIKE	21	"The record is etched deep in the sand—
beyond the reach of the wind."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	22	"Harmony was restored.
Everything had been for this moment."
ru	outcome.success.normal.pool	ENGLISH_LIKE	22	"Harmony was restored.
Everything had been for this moment."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	23	"RUN COMPLETE.
Clear. Found it.
That's enough."
ru	outcome.success.normal.pool	ENGLISH_LIKE	23	"RUN COMPLETE.
Clear. Found it.
That's enough."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	24	"RUN COMPLETE.
The path held.
So did you."
ru	outcome.success.normal.pool	ENGLISH_LIKE	24	"RUN COMPLETE.
The path held.
So did you."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	25	"The sky has kept moving.
So can you."
ru	outcome.success.normal.pool	ENGLISH_LIKE	25	"The sky has kept moving.
So can you."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	26	"RUN COMPLETE.
A quiet result.
The weight of real work."
ru	outcome.success.normal.pool	ENGLISH_LIKE	26	"RUN COMPLETE.
A quiet result.
The weight of real work."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	27	"You only walked the path
the world had laid out for you."
ru	outcome.success.normal.pool	ENGLISH_LIKE	27	"You only walked the path
the world had laid out for you."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	28	"The ground didn’t give way.
It trusted your steps."
ru	outcome.success.normal.pool	ENGLISH_LIKE	28	"The ground didn’t give way.
It trusted your steps."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	29	"This moment aligned
with the stars’ ancient rhythm."
ru	outcome.success.normal.pool	ENGLISH_LIKE	29	"This moment aligned
with the stars’ ancient rhythm."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	30	"You didn’t take anything.
 You understood something."
ru	outcome.success.normal.pool	ENGLISH_LIKE	30	"You didn’t take anything.
 You understood something."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	31	"You didn’t gain a thing.
You only saw the truth for what it was."
ru	outcome.success.normal.pool	ENGLISH_LIKE	31	"You didn’t gain a thing.
You only saw the truth for what it was."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	32	"You didn’t take this place.
You belonged here."
ru	outcome.success.normal.pool	ENGLISH_LIKE	32	"You didn’t take this place.
You belonged here."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	33	"You walked a road
older than memory itself."
ru	outcome.success.normal.pool	ENGLISH_LIKE	33	"You walked a road
older than memory itself."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	34	"The earth did not resist.
It recognized you."
ru	outcome.success.normal.pool	ENGLISH_LIKE	34	"The earth did not resist.
It recognized you."
ru	outcome.success.normal.pool	CYRILLIC_MISSING	35	"This moment aligned
 with the stillness of the stars."
ru	outcome.success.normal.pool	ENGLISH_LIKE	35	"This moment aligned
 with the stillness of the stars."
ru	outcome.success.hard.pool	COUNT	32	32
ru	outcome.success.hard.pool	CYRILLIC_MISSING	1	"In the north wind,
clarity outlasts speed."
ru	outcome.success.hard.pool	ENGLISH_LIKE	1	"In the north wind,
clarity outlasts speed."
ru	outcome.success.hard.pool	CYRILLIC_MISSING	2	"The center was found.
 The world came to rest."
ru	outcome.success.hard.pool	ENGLISH_LIKE	2	"The center was found.
 The world came to rest."
ru	outcome.success.hard.pool	CYRILLIC_MISSING	3	"The stars stay silent.
Your record does the speaking."
ru	outcome.success.hard.pool	ENGLISH_LIKE	3	"The stars stay silent.
Your record does the speaking."
ru	outcome.success.hard.pool	CYRILLIC_MISSING	4	"The result  remained.
The position changed."
ru	outcome.success.hard.pool	ENGLISH_LIKE	4	"The result  remained.
The position changed."
ru	outcome.success.hard.pool	CYRILLIC_MISSING	5	"Between ice and glass,
you chose control."
