lang	priority_score	status	total	empty	count_mismatch	english_like	lang_hint_count
is	441	NEEDS_NATIVE_LOCALIZE_OR_POLISH	158	0	0	147	1
nl	441	NEEDS_NATIVE_LOCALIZE_OR_POLISH	158	0	0	147	2
fr	18	NEEDS_NATIVE_LOCALIZE_OR_POLISH	158	0	0	6	6
de	9	NEEDS_NATIVE_LOCALIZE_OR_POLISH	158	0	0	3	7
asl_gloss	0	ASL_GLOSS_SPECIAL_REVIEW	158	0	0	0	4
en	0	OK_OR_ALREADY_POLISHED	158	0	0	0	5
es	0	OK_OR_ALREADY_POLISHED	158	0	0	0	6
fi	0	OK_OR_ALREADY_POLISHED	158	0	0	0	5
hi	0	OK_OR_ALREADY_POLISHED	158	0	0	0	4
it	0	OK_OR_ALREADY_POLISHED	158	0	0	0	6
ja	0	OK_OR_ALREADY_POLISHED	158	0	0	0	6
ko	0	OK_OR_ALREADY_POLISHED	158	0	0	0	4
la	0	OK_OR_ALREADY_POLISHED	158	0	0	0	4
lzh	0	OK_OR_ALREADY_POLISHED	158	0	0	0	4
pt	0	OK_OR_ALREADY_POLISHED	158	0	0	0	6
ru	0	OK_OR_ALREADY_POLISHED	158	0	0	0	5
sa	0	OK_OR_ALREADY_POLISHED	158	0	0	0	3
sv	0	OK_OR_ALREADY_POLISHED	158	0	0	0	5
zh_tw	0	OK_OR_ALREADY_POLISHED	158	0	0	0	4
