lang	pool	kind	meta	value
de	outcome.success.easy.pool	COUNT	17	
de	outcome.success.easy.pool	ENGLISH_LIKE_1		Du hast es geschafft.\nDie Wahrheit bleibt bestehen.
de	outcome.success.easy.pool	ENGLISH_LIKE_5		> Entfernung bekam Bedeutung.\n> \n> und die Zeit antwortete auf deine Schritte.
de	outcome.success.easy.pool	ENGLISH_LIKE_12		Die Zeit verstrich lautlos,\nverwahrt in den Winkeln der Erinnerung.
de	outcome.success.easy.pool	ENGLISH_LIKE_13		Der Himmel wechselte die Farbe,\nund eine Geschichte fand ihr Ende.
de	outcome.success.easy.pool	ENGLISH_LIKE_14		Die Wellen wurden ruhig,\nund das Meer verbarg wieder seine Tiefe.
de	outcome.success.normal.pool	COUNT	35	
de	outcome.success.normal.pool	ENGLISH_LIKE_1		Die Entfernung hat ihren Sinn gefunden.\nDie Zeit hat deinen Weg beantwortet.
de	outcome.success.normal.pool	ENGLISH_LIKE_2		Die Zeit ist abgelaufen.\nDoch noch ist nicht alles vorbei.
de	outcome.success.normal.pool	ENGLISH_LIKE_3		Die Achse ist gefunden.\nDie Welt hat ihre Bewegung eingestellt.
de	outcome.success.normal.pool	ENGLISH_LIKE_4		Das Glas hielt stand,\nund du ebenso.
de	outcome.success.normal.pool	ENGLISH_LIKE_7		Du hast den zerbrechlichen Boden durchquert,\nohne den Blick zu verlieren.
de	outcome.success.normal.pool	ENGLISH_LIKE_8		Der Augenblick ist vergangen.\nDoch was bleibt, bleibt.
de	outcome.success.normal.pool	ENGLISH_LIKE_10		Der Himmel kennt keine Pause in seinem endlosen Kreis,\nund auch du kanntest keine.
de	outcome.success.normal.pool	ENGLISH_LIKE_11		Das Zentrum ist erreicht.\nDie Welt stand still.
de	outcome.success.normal.pool	ENGLISH_LIKE_12		Endlich hier.\nDie Wahrheit bleibt unbeugsam.
de	outcome.success.normal.pool	ENGLISH_LIKE_14		Die Zeit glitt in die Stille\nund fand ihren Platz in den Tiefen des Geistes.
de	outcome.success.normal.pool	ENGLISH_LIKE_17		Die Schritte endeten,\nund nur der Ort blieb.
de	outcome.success.normal.pool	ENGLISH_LIKE_24		Der Himmel trug dein Schweigen,\nund der Weg trug dich weiter.
de	outcome.success.normal.pool	ENGLISH_LIKE_25		Du bist hindurchgegangen,\nohne dem Zerbrechlichen nachzugeben.
de	outcome.success.normal.pool	ENGLISH_LIKE_27		Die Stille blieb,\nund in ihr hattest du Bestand.
de	outcome.success.normal.pool	ENGLISH_LIKE_28		Der Blick blieb offen,\nauch als der Boden nachgab.
de	outcome.success.normal.pool	ENGLISH_LIKE_29		Nichts war leicht.\nDoch du bist geblieben.
de	outcome.success.normal.pool	ENGLISH_LIKE_30		Der Weg war schmal,\naber du hast ihn getragen.
