lang	pool	index	en_source	translation	note
hi	outcome.timeup.normal.pool	1	The distance closed.\nTime did not.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	2	The world kept its rules.\nYou touched the edge.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	3	You didn’t make it.\nBut the signal was real.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	4	Some treasures still await.\nLet’s try a different path.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	5	The result remained.\nThe position changed.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	6	Time ran out.\nMeaning didn't.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	7	So close.\nThe sound said so.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	8	The map is still open.\nCome back to it.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	9	The world’s rules stood firm.\nThe signal of possibility was real.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	10	The world kept its rules.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	11	The moment passed.\nThe record remains.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	12	The sun sank,\nand shadow covered the world once again.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	13	The last grains of sand fell,\nand the story quietly came to a close.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	14	The wind swept through,\nand the footprints vanished without a trace.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	15	The tide came in,\nWhat once had been there returned to the sea.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	16	Silence.\nOnly time passed through.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	17	Victory and defeat \nare nothing more than grains of sand.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	18	The road goes on—or it ends.\nEither way, it lies on the same earth.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	19	> Time ran out.\n> \n> Nothing else did.		exact_en_158_full_rebuild
hi	outcome.timeup.normal.pool	20	> The outcome didn’t change.\n> \n> But your position did.		exact_en_158_full_rebuild
