lang	pool	index	translation
fr	outcome.success.easy.pool	1	"Tu es arrivé.
La vérité demeure."
fr	outcome.success.easy.pool	2	"Même si ce n’était qu’un petit pas,
tu as tenu bon."
fr	outcome.success.easy.pool	3	"Tu as écouté.
Et le chemin s’est ouvert."
fr	outcome.success.easy.pool	4	"> Tu es arrivé jusqu’ici.
>
> Les règles étaient simples —
>
> le choix t’appartenait."
fr	outcome.success.easy.pool	5	"> La distance a pris sens.
>
> Et le temps a répondu à tes pas."
fr	outcome.success.easy.pool	6	"> Toute lumière ne brille pas éternellement.
>
> Mais cet instant, lui, a brillé."
fr	outcome.success.easy.pool	7	"La lumière est descendue doucement,
et toutes les ombres se sont retirées."
fr	outcome.success.easy.pool	8	"Le vent s’est tu.
Tout est revenu à sa place."
fr	outcome.success.easy.pool	9	"Un instant de silence.
Le monde a repris son souffle."
fr	outcome.success.easy.pool	10	"La trace s’est gravée dans le sable —
là où le vent ne l’atteint plus."
fr	outcome.success.easy.pool	11	"L’équilibre a été rétabli.
Tout menait à cet instant."
fr	outcome.success.easy.pool	12	"Le temps a glissé en silence,
préservé dans un recoin de la mémoire."
fr	outcome.success.easy.pool	13	"Le ciel a changé de couleur,
et une histoire a trouvé sa fin."
fr	outcome.success.easy.pool	14	"Les vagues se sont apaisées,
et la mer a de nouveau caché ses profondeurs."
fr	outcome.success.easy.pool	15	"Les pas se sont arrêtés,
et seul le lieu est resté."
fr	outcome.success.easy.pool	16	"Victoire et défaite —
au fond, ce ne sont que des grains de sable."
fr	outcome.success.easy.pool	17	"La route continue — ou s’arrête ici.
Dans les deux cas, elle repose sur la même terre."
fr	outcome.success.normal.pool	1	"La distance a enfin trouvé son sens.
Le temps a répondu à ton voyage."
fr	outcome.success.normal.pool	2	"Le temps est écoulé.
Mais tout n’est pas terminé."
fr	outcome.success.normal.pool	3	"L’axe a été trouvé.
Le monde a retenu son mouvement."
fr	outcome.success.normal.pool	4	"Le verre a retenu son souffle,
et tu as tenu bon."
fr	outcome.success.normal.pool	5	"Sous le ciel immobile,
ton esprit n’a pas vacillé."
fr	outcome.success.normal.pool	6	"Peu de choses brillent pour toujours.
Mais cet instant était lumineux."
fr	outcome.success.normal.pool	7	"Tu as traversé une terre fragile
sans perdre ton horizon."
fr	outcome.success.normal.pool	8	"L’instant est passé.
Ce qui demeure demeure."
fr	outcome.success.normal.pool	9	"La chance se fane vite.
L’ordre demeure."
fr	outcome.success.normal.pool	10	"Le ciel ne connaît aucune pause dans son cercle infini,
et toi non plus, tu ne t’es pas arrêté."
fr	outcome.success.normal.pool	11	"Tu as atteint le centre.
Le monde est resté immobile."
fr	outcome.success.normal.pool	12	"Te voilà enfin ici.
La vérité tient bon."
fr	outcome.success.normal.pool	13	"Tu es allé jusqu’au bout.
Souviens-toi : ce chemin, c’est toi qui l’as choisi, et personne d’autre."
fr	outcome.success.normal.pool	14	"Le temps a glissé vers le silence
et trouvé sa place dans les profondeurs de la mémoire."
fr	outcome.success.normal.pool	15	"Tandis que le ciel changeait de couleur,
l’histoire a trouvé son dénouement."
fr	outcome.success.normal.pool	16	"Les eaux se sont calmées,
et le ciel a de nouveau voilé son abîme."
fr	outcome.success.normal.pool	17	"Les pas se sont tus,
et seul le lieu est resté."
fr	outcome.success.normal.pool	18	"La lumière est descendue doucement,
et toutes les ombres se sont retirées."
fr	outcome.success.normal.pool	19	"Le vent s’est tu.
Tout est revenu à sa place."
fr	outcome.success.normal.pool	20	"Un instant de silence.
Le monde a repris son souffle."
fr	outcome.success.normal.pool	21	"La trace s’est gravée dans le sable —
là où le vent ne l’atteint plus."
fr	outcome.success.normal.pool	22	"L’équilibre a été rétabli.
Tout menait à cet instant."
fr	outcome.success.normal.pool	23	"Course terminée.
Clair. Trouvé.
Cela suffit."
fr	outcome.success.normal.pool	24	"Course terminée.
Le chemin a tenu.
Toi aussi."
fr	outcome.success.normal.pool	25	"Le ciel a continué son mouvement.
Toi aussi, tu le peux."
fr	outcome.success.normal.pool	26	"Course terminée.
Un résultat silencieux.
Le poids du vrai travail."
fr	outcome.success.normal.pool	27	"Tu n’as fait que suivre le sentier
que le monde avait placé devant toi."
fr	outcome.success.normal.pool	28	"La terre n’a pas cédé.
Elle a fait confiance à tes pas."
fr	outcome.success.normal.pool	29	"Cet instant s’est accordé
au rythme ancien des étoiles."
fr	outcome.success.normal.pool	30	"Tu n’as rien pris.
Tu as compris quelque chose."
fr	outcome.success.normal.pool	31	"Tu n’as rien gagné pour toi.
Tu as seulement vu la vérité telle qu’elle était."
fr	outcome.success.normal.pool	32	"Tu n’as pas conquis ce lieu.
Tu y appartenais."
fr	outcome.success.normal.pool	33	"Tu as marché sur une voie
plus ancienne que la mémoire elle-même."
