lang	pool	kind	meta	value
en	outcome.success.easy.pool	COUNT	17	17
en	outcome.success.normal.pool	COUNT	35	35
en	outcome.success.hard.pool	COUNT	32	32
en	outcome.timeup.easy.pool	COUNT	16	16
en	outcome.timeup.normal.pool	COUNT	20	20
en	outcome.timeup.hard.pool	COUNT	38	38
ja	outcome.success.easy.pool	COUNT	17	17
ja	outcome.success.normal.pool	COUNT	35	35
ja	outcome.success.hard.pool	COUNT	32	32
ja	outcome.timeup.easy.pool	COUNT	16	16
ja	outcome.timeup.normal.pool	COUNT	20	20
ja	outcome.timeup.hard.pool	COUNT	38	38
de	outcome.success.easy.pool	COUNT	17	17
de	outcome.success.easy.pool	ENGLISH_LIKE	6	"> Nicht alles leuchtet für immer.
> 
> Doch dieser Moment tat es."
de	outcome.success.easy.pool	ENGLISH_LIKE	8	"Der Wind verstummte,
und alles kehrte an seinen angestammten Platz zurück."
de	outcome.success.easy.pool	ENGLISH_LIKE	11	"Die Harmonie kehrte zurück.
Alles lief auf diesen Moment hinaus."
de	outcome.success.normal.pool	COUNT	35	35
de	outcome.success.normal.pool	ENGLISH_LIKE	6	"Nur wenig leuchtet für immer.
Doch dieser Moment strahlte."
de	outcome.success.normal.pool	ENGLISH_LIKE	8	"Der Augenblick ist vergangen.
Doch was bleibt, bleibt."
de	outcome.success.normal.pool	ENGLISH_LIKE	11	"Das Zentrum ist erreicht.
Die Welt stand still."
de	outcome.success.normal.pool	ENGLISH_LIKE	16	"Das Wasser wurde still,
und der Himmel verhüllte erneut seinen Abgrund."
de	outcome.success.normal.pool	ENGLISH_LIKE	19	"Der Wind verstummte,
und alles kehrte an seinen angestammten Platz zurück."
de	outcome.success.normal.pool	ENGLISH_LIKE	22	"Die Harmonie kehrte zurück.
Alles lief auf diesen Moment hinaus."
de	outcome.success.normal.pool	ENGLISH_LIKE	26	"Was flüchtig war, wurde klar.
Was fern war, rückte nah."
de	outcome.success.normal.pool	ENGLISH_LIKE	31	"Die Welt wurde still,
und du wurdest nicht kleiner."
de	outcome.success.hard.pool	COUNT	32	32
de	outcome.success.hard.pool	ENGLISH_LIKE	23	"Was hart war, blieb hart.
Doch du bliebst standhaft."
de	outcome.timeup.easy.pool	COUNT	16	16
de	outcome.timeup.normal.pool	COUNT	20	20
de	outcome.timeup.normal.pool	ENGLISH_LIKE	6	"Der Moment ist vorbei.
Die Spur bleibt."
de	outcome.timeup.normal.pool	ENGLISH_LIKE	18	"Was fehlte, war nicht Mut.
Nur Zeit."
de	outcome.timeup.hard.pool	COUNT	38	38
de	outcome.timeup.hard.pool	ENGLISH_LIKE	19	"Der Moment ist entglitten,
aber die Spur blieb."
de	outcome.timeup.hard.pool	ENGLISH_LIKE	24	"Der Wind strich hindurch,
und die Spuren vergingen spurlos."
de	outcome.timeup.hard.pool	ENGLISH_LIKE	25	"Die Flut kam,
und was da war, kehrte ins Meer zurück."
sv	outcome.success.easy.pool	COUNT	17	17
sv	outcome.success.normal.pool	COUNT	35	35
sv	outcome.success.hard.pool	COUNT	32	32
sv	outcome.timeup.easy.pool	COUNT	16	16
sv	outcome.timeup.normal.pool	COUNT	20	20
sv	outcome.timeup.hard.pool	COUNT	38	38
pt	outcome.success.easy.pool	COUNT	17	17
pt	outcome.success.normal.pool	COUNT	35	35
pt	outcome.success.hard.pool	COUNT	32	32
pt	outcome.timeup.easy.pool	COUNT	16	16
pt	outcome.timeup.normal.pool	COUNT	20	20
pt	outcome.timeup.hard.pool	COUNT	38	38
hi	outcome.success.easy.pool	COUNT	17	17
hi	outcome.success.normal.pool	COUNT	35	35
hi	outcome.success.hard.pool	COUNT	32	32
hi	outcome.timeup.easy.pool	COUNT	16	16
hi	outcome.timeup.normal.pool	COUNT	20	20
hi	outcome.timeup.hard.pool	COUNT	38	38
ko	outcome.success.easy.pool	COUNT	17	17
ko	outcome.success.normal.pool	COUNT	35	35
ko	outcome.success.hard.pool	COUNT	32	32
ko	outcome.timeup.easy.pool	COUNT	16	16
ko	outcome.timeup.normal.pool	COUNT	20	20
ko	outcome.timeup.hard.pool	COUNT	38	38
zh_tw	outcome.success.easy.pool	COUNT	17	17
zh_tw	outcome.success.normal.pool	COUNT	35	35
zh_tw	outcome.success.hard.pool	COUNT	32	32
zh_tw	outcome.timeup.easy.pool	COUNT	16	16
zh_tw	outcome.timeup.normal.pool	COUNT	20	20
zh_tw	outcome.timeup.hard.pool	COUNT	38	38
lzh	outcome.success.easy.pool	COUNT	17	17
lzh	outcome.success.normal.pool	COUNT	35	35
lzh	outcome.success.hard.pool	COUNT	32	32
lzh	outcome.timeup.easy.pool	COUNT	16	16
lzh	outcome.timeup.normal.pool	COUNT	20	20
lzh	outcome.timeup.hard.pool	COUNT	38	38
ru	outcome.success.easy.pool	COUNT	17	17
ru	outcome.success.normal.pool	COUNT	35	35
ru	outcome.success.hard.pool	COUNT	32	32
ru	outcome.timeup.easy.pool	COUNT	16	16
ru	outcome.timeup.normal.pool	COUNT	20	20
ru	outcome.timeup.hard.pool	COUNT	38	38
sa	outcome.success.easy.pool	COUNT	17	17
sa	outcome.success.normal.pool	COUNT	35	35
sa	outcome.success.hard.pool	COUNT	32	32
sa	outcome.timeup.easy.pool	COUNT	16	16
sa	outcome.timeup.normal.pool	COUNT	20	20
sa	outcome.timeup.hard.pool	COUNT	38	38
la	outcome.success.easy.pool	COUNT	17	17
la	outcome.success.normal.pool	COUNT	35	35
la	outcome.success.hard.pool	COUNT	32	32
la	outcome.timeup.easy.pool	COUNT	16	16
la	outcome.timeup.normal.pool	COUNT	20	20
la	outcome.timeup.hard.pool	COUNT	38	38
es	outcome.success.easy.pool	COUNT	17	17
es	outcome.success.normal.pool	COUNT	35	35
es	outcome.success.hard.pool	COUNT	32	32
es	outcome.timeup.easy.pool	COUNT	16	16
es	outcome.timeup.normal.pool	COUNT	20	20
es	outcome.timeup.hard.pool	COUNT	38	38
fi	outcome.success.easy.pool	COUNT	17	17
fi	outcome.success.easy.pool	ENGLISH_LIKE	1	"You’ve made it.
The truth remains."
fi	outcome.success.easy.pool	ENGLISH_LIKE	2	"Even if it was only a small step,
you held your ground."
fi	outcome.success.easy.pool	ENGLISH_LIKE	3	"You listened.
 The path opened."
fi	outcome.success.easy.pool	ENGLISH_LIKE	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
