lang	pool	index	old	new
it	outcome.success.easy.pool	1	"Ce l’hai fatta.
La verità resta."	"Ce l’hai fatta.
La verità rimane."
it	outcome.success.easy.pool	2	"Anche se era solo un piccolo passo,
hai tenuto saldo il terreno sotto di te."	"Anche se era solo un piccolo passo,
sei rimasto saldo."
it	outcome.success.easy.pool	3	"Hai ascoltato.
E il sentiero si è aperto."	"Hai ascoltato.
E il sentiero si è aperto davanti a te."
it	outcome.success.easy.pool	5	"> La distanza ha preso significato.
>
> E il tempo ha risposto ai tuoi passi."	"> La distanza ha acquistato senso.
>
> E il tempo ha risposto a ogni tuo passo."
it	outcome.success.easy.pool	6	"> Non tutto ciò che brilla dura per sempre.
>
> Ma questo istante ha brillato."	"> Non tutto ciò che brilla dura per sempre.
>
> Ma questo istante sì."
it	outcome.success.easy.pool	7	"La luce è scesa piano,
e ogni ombra si è ritirata."	"La luce è calata piano,
e ogni ombra si è dissolta."
it	outcome.success.easy.pool	8	"Il vento si è placato.
Ogni cosa è tornata al suo posto."	"Il vento si è zittito.
Ogni cosa è tornata al suo posto."
it	outcome.success.easy.pool	9	"Un istante di silenzio.
Il mondo ha ripreso fiato."	"Un istante di silenzio.
Il mondo ha ripreso il suo respiro."
it	outcome.success.easy.pool	10	"La traccia si è incisa nella sabbia —
là dove il vento non arriva più."	"La traccia si è impressa nella sabbia —
là dove il vento non arriva più."
it	outcome.success.easy.pool	11	"L’equilibrio è tornato.
Tutto portava a questo istante."	"L’equilibrio è stato ristabilito.
Tutto conduceva a questo istante."
it	outcome.success.easy.pool	12	"Il tempo è scivolato via in silenzio,
al riparo in un angolo della memoria."	"Il tempo è scivolato via in silenzio,
custodito in un angolo della memoria."
it	outcome.success.easy.pool	13	"Il cielo ha cambiato colore,
e una storia si è chiusa."	"Il cielo ha cambiato colore,
e una storia ha trovato la sua fine."
it	outcome.success.easy.pool	14	"Le onde si sono calmate,
e il mare ha custodito di nuovo le sue profondità."	"Le onde si sono calmate,
e il mare ha nascosto di nuovo le sue profondità."
it	outcome.success.easy.pool	15	"I passi si sono fermati,
e solo il luogo è rimasto."	"I passi si sono fermati,
e il luogo solo è rimasto."
it	outcome.success.easy.pool	16	"Vittoria e sconfitta —
in fondo, non sono che granelli di sabbia."	"Vittoria e sconfitta —
in fondo, sono solo granelli di sabbia."
it	outcome.success.easy.pool	17	"La strada continua — oppure finisce qui.
In entrambi i casi, poggia sulla stessa terra."	"La strada continua — oppure finisce qui.
In ogni caso, riposa sulla stessa terra."
it	outcome.success.normal.pool	1	"La distanza ha finalmente trovato il suo senso.
Il tempo ha risposto al tuo viaggio."	"La distanza ha finalmente preso senso.
Il tempo ha risposto al tuo cammino."
it	outcome.success.normal.pool	2	"Il tempo è scaduto.
Ma non tutto è finito."	"Il tempo è scaduto.
Ma non tutto finisce qui."
it	outcome.success.normal.pool	3	"L’asse è stato trovato.
Il mondo ha sospeso il suo moto."	"L’asse è stato trovato.
Il mondo ha trattenuto il suo movimento."
it	outcome.success.normal.pool	4	"Il vetro ha trattenuto il respiro,
e tu hai tenuto duro."	"Il vetro ha trattenuto il respiro,
e tu sei rimasto saldo."
it	outcome.success.normal.pool	5	"Sotto il cielo immobile,
il tuo spirito non ha vacillato."	"Sotto il cielo immobile,
il tuo spirito non ha tremato."
it	outcome.success.normal.pool	6	"Poche cose brillano per sempre.
Ma questo istante ha brillato."	"Poche cose brillano per sempre.
Ma questo istante sì."
