lang	pool	index	en_source	translation	note
pt	outcome.timeup.hard.pool	21	Nothing changed.\n Only your position did.\nNot luck.\nAlignment.\nThe moment passed.\nThe record remains.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	22	The sun sank,\nand shadow covered the world once again.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	23	The last grains of sand fell,\nand the story quietly came to a close.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	24	The wind swept through,\nand the footprints vanished without a trace.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	25	The tide came in,\nWhat once had been there returned to the sea.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	26	Silence.\nOnly time passed through.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	27	Victory and defeat \nare nothing more than grains of sand.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	28	The road goes on—or it ends.\nEither way, it lies on the same earth.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	29	The season closed.\nThe land remained.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	30	The path The path remains.\nOnly your steps stopped.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	31	Your time ran out.\nThe sky didn’t.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	32	It wasn’t rejection.\nOnly silence.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	33	The world is still intact.\nYou can return—changed.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	34	The season ended.\nThe forest remains.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	35	The distance was closing.\nTime kept its rhythm.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	36	Your time came to a halt.\nThe sky kept moving.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	37	Not rejection\nJust silence.		exact_en_158_full_rebuild
pt	outcome.timeup.hard.pool	38	The path is still here.\nYou can come back—changed.		exact_en_158_full_rebuild
