lang	pool	index	old	new
fi	outcome.success.easy.pool	1	"Pääsit perille.
Totuus jää."	"Pääsit perille.
Totuus säilyy."
fi	outcome.success.easy.pool	2	"Vaikka se oli vain pieni askel,
pysyit silti paikallasi."	"Vaikka se oli vain pieni askel,
pysyit silti lujana."
fi	outcome.success.easy.pool	3	"Kuuntelit.
Ja tie avautui."	"Kuuntelit.
Siksi tie avautui."
fi	outcome.success.easy.pool	8	"Tuuli vaikeni.
Kaikki palasi omalle paikalleen."	"Tuuli tyyntyi.
Kaikki palasi paikalleen."
fi	outcome.success.easy.pool	9	"Hiljainen hetki.
Maailma löysi jälleen hengityksensä."	"Hiljainen hetki.
Maailma veti taas rauhallisesti henkeä."
fi	outcome.success.easy.pool	11	"Tasapaino palautui.
Kaikki oli kulkenut kohti tätä hetkeä."	"Tasapaino palautui.
Kaikki oli johtanut tähän hetkeen."
fi	outcome.success.easy.pool	12	"Aika lipui ohi hiljaa,
muiston nurkkaan talletettuna."	"Aika lipui hiljaa ohi,
tallettui muistin syrjään."
fi	outcome.success.easy.pool	15	"Askeleet pysähtyivät,
ja vain paikka jäi jäljelle."	"Askeleet lakkasivat,
ja vain paikka jäi jäljelle."
fi	outcome.success.easy.pool	17	"Tie jatkuu — tai päättyy tähän.
Kummallakin tavalla se lepää samalla maalla."	"Tie jatkuu — tai päättyy tähän.
Kummassakin tapauksessa se lepää samalla maalla."
fi	outcome.success.normal.pool	1	"Etäisyys löysi viimein merkityksensä.
Aika vastasi matkaasi."	"Etäisyys sai viimein merkityksensä.
Aika vastasi matkaasi."
fi	outcome.success.normal.pool	2	"Aika päättyi.
Mutta kaikki ei päättynyt."	"Aika kului loppuun.
Mutta kaikki ei päättynyt."
fi	outcome.success.normal.pool	3	"Akseli löytyi.
Maailma pidätti liikkeensä."	"Akseli löytyi.
Maailma pidätti liikkeensä."
fi	outcome.success.normal.pool	4	"Lasi pidätti hengitystään,
ja sinä pidit paikkasi."	"Lasi pidätti hengitystään,
ja sinä pysyit lujana."
fi	outcome.success.normal.pool	5	"Liikkumattoman taivaan alla
mielesi ei horjunut."	"Tyynen taivaan alla
mielesi ei horjunut."
fi	outcome.success.normal.pool	7	"Kuljit hauraan maan yli
katsettasi kadottamatta."	"Kuljit hauraan maan yli
kadottamatta suuntaasi."
fi	outcome.success.normal.pool	8	"Hetki meni ohi.
Se mikä jäi, pysyy."	"Hetki meni ohi.
Se mikä jää, jää."
fi	outcome.success.normal.pool	10	"Taivas ei tunne taukoa loputtomassa kehässään,
etkä sinäkään pysähtynyt."	"Taivas ei tunne taukoa loputtomassa kehässään,
etkä sinäkään pysähtynyt."
fi	outcome.success.normal.pool	11	"Saavutit keskuksen.
Maailma pysähtyi."	"Saavutit keskuksen.
Maailma jäi paikoilleen."
fi	outcome.success.normal.pool	12	"Viimein olet tässä.
Totuus pysyy lujana."	"Viimein olet tässä.
Totuus pysyy."
