lang	pool	index	old	new
nl	outcome.success.easy.pool	1	"Je hebt het gehaald.
De waarheid blijft."	"Je hebt het gehaald.
De waarheid blijft overeind."
nl	outcome.success.easy.pool	3	"Je luisterde.
En het pad ging open."	"Je hebt geluisterd.
Toen ging het pad voor je open."
nl	outcome.success.easy.pool	4	"> Je bent tot hier gekomen.
>
> De regels waren eenvoudig —
>
> de keuze was van jou."	"> Je bent tot hier gekomen.
>
> De regels waren eenvoudig —
>
> de keuze was aan jou."
nl	outcome.success.easy.pool	5	"> Afstand kreeg betekenis.
>
> En de tijd antwoordde op je voetstappen."	"> De afstand kreeg betekenis.
>
> En de tijd gaf antwoord op je voetstappen."
nl	outcome.success.easy.pool	6	"> Niet alles blijft voor altijd schitteren.
>
> Maar dit moment deed dat wel."	"> Niet alles blijft voorgoed schitteren.
>
> Deze ene seconde wel."
nl	outcome.success.easy.pool	7	"Het licht daalde zacht neer,
en elke schaduw trok zich terug."	"Het licht zakte zacht neer,
en elke schaduw week terug."
nl	outcome.success.easy.pool	8	"De wind werd stil.
Alles keerde terug naar zijn plaats."	"De stilte viel over de lucht.
Alles keerde terug naar zijn plaats."
nl	outcome.success.easy.pool	9	"Een ogenblik stilte.
De wereld haalde weer adem."	"Een korte stilte.
De wereld haalde weer adem."
nl	outcome.success.easy.pool	10	"Het spoor staat diep in het zand gegrift —
waar de wind er niet meer bij kan."	"Het spoor staat diep in het zand gegrift —
buiten bereik van de luchtstroom."
nl	outcome.success.easy.pool	11	"Het evenwicht keerde terug.
Alles leidde naar dit moment."	"Het evenwicht werd hersteld.
Alles leidde naar dit ogenblik."
nl	outcome.success.easy.pool	12	"De tijd gleed in stilte voorbij,
veilig opgeborgen in een hoek van het geheugen."	"De tijd gleed zwijgend voorbij,
veilig opgeborgen in een hoek van het geheugen."
nl	outcome.success.easy.pool	13	"De hemel veranderde van kleur,
en één verhaal vond zijn einde."	"De hemel verschoot van kleur,
en één verhaal kwam tot een einde."
nl	outcome.success.easy.pool	14	"De golven kwamen tot rust,
en de zee verborg opnieuw haar diepte."	"De golven kwamen tot rust,
en de zee verborg haar diepte opnieuw."
nl	outcome.success.easy.pool	16	"Overwinning en nederlaag —
uiteindelijk zijn het niet meer dan zandkorrels."	"Overwinning en nederlaag —
uiteindelijk zijn het slechts zandkorrels."
nl	outcome.success.normal.pool	1	"De afstand heeft eindelijk betekenis gekregen.
De tijd heeft geantwoord op je reis."	"De afstand heeft eindelijk betekenis gekregen.
De tijd gaf antwoord op je reis."
nl	outcome.success.normal.pool	2	"De tijd is om.
Maar niet alles is voorbij."	"De tijd is om.
Maar hier eindigt niet alles."
nl	outcome.success.normal.pool	5	"Onder de stilte van de hemel
wankelde je geest niet."	"Onder de stille hemel
wankelde je geest niet."
nl	outcome.success.normal.pool	6	"Weinig dingen blijven voor altijd schitteren.
Maar dit moment schitterde."	"Weinig dingen schitteren voorgoed.
Deze ene seconde wel."
nl	outcome.success.normal.pool	7	"Je trok over kwetsbare aarde
zonder de horizon te verliezen."	"Je trok over kwetsbare aarde
zonder de horizon kwijt te raken."
nl	outcome.success.normal.pool	8	"Het moment is voorbij.
Wat blijft, blijft."	"Het ogenblik is voorbij.
Wat blijft, blijft."
nl	outcome.success.normal.pool	9	"Geluk vervaagt snel.
Orde blijft bestaan."	"Geluk vervaagt snel.
Orde houdt stand."
nl	outcome.success.normal.pool	10	"De hemel kent geen pauze in zijn eindeloze cirkel,
en jij bent ook niet gestopt."	"De hemel kent geen pauze in zijn eindeloze kring,
en jij bent ook niet gestopt."
nl	outcome.success.normal.pool	13	"Je bent tot het einde gegaan.
Onthoud dit: jij koos dit pad, niemand anders."	"Je bent tot het einde gegaan.
Onthoud dit: jij koos dit pad. Niemand anders."
nl	outcome.success.normal.pool	15	"Terwijl de hemel van kleur veranderde,
vond het verhaal zijn einde."	"Terwijl de hemel van kleur veranderde,
kwam het verhaal tot een einde."
nl	outcome.success.normal.pool	18	"Het licht daalde zacht neer,
en elke schaduw trok zich terug."	"Het licht zakte zacht neer,
en elke schaduw week terug."
nl	outcome.success.normal.pool	19	"De wind werd stil.
Alles keerde terug naar zijn plaats."	"De stilte viel over de lucht.
Alles keerde terug naar zijn plaats."
