lang	pool	kind	meta	value
fi	outcome.success.easy.pool	COUNT	17	17
fi	outcome.success.easy.pool	ITEM	1	"You’ve made it.
The truth remains."
fi	outcome.success.easy.pool	ITEM	2	"Even if it was only a small step,
you held your ground."
fi	outcome.success.easy.pool	ITEM	3	"You listened.
 The path opened."
fi	outcome.success.easy.pool	ITEM	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
fi	outcome.success.easy.pool	ITEM	5	"> Distance became meaning.
> 
> and time answered your footsteps."
fi	outcome.success.easy.pool	ITEM	6	"> Not everything shines forever.
> 
> But this moment did."
fi	outcome.success.easy.pool	ITEM	7	"Light fell evenly, ,
and every shadow vanished."
fi	outcome.success.easy.pool	ITEM	8	"The wind fell silent.
and everything returned to where it belonged."
fi	outcome.success.easy.pool	ITEM	9	"A moment of silence.
The world steadied its breath."
fi	outcome.success.easy.pool	ITEM	10	"The record is etched deep in the sand—
beyond the reach of the wind."
fi	outcome.success.easy.pool	ITEM	11	"Harmony was restored.
Everything had been for this moment."
fi	outcome.success.easy.pool	ITEM	12	"Time slipped by in silence,
tucked away in the corners of memory."
fi	outcome.success.easy.pool	ITEM	13	"The sky shifted in color,
and one story came to its end."
fi	outcome.success.easy.pool	ITEM	14	"The waves grew calm,
and the sea hid its depths once more."
fi	outcome.success.easy.pool	ITEM	15	"The footsteps stopped,
and only the place remained."
fi	outcome.success.easy.pool	ITEM	16	"Victory and defeat 
are nothing more than grains of sand."
fi	outcome.success.easy.pool	ITEM	17	"The road goes on—or it ends.
Either way, it lies on the same earth."
fi	outcome.success.normal.pool	COUNT	35	35
fi	outcome.success.normal.pool	ITEM	1	"The distance has found its meaning.
Time has rewarded your journey."
fi	outcome.success.normal.pool	ITEM	2	"The time is up.
but the rest is far from over."
fi	outcome.success.normal.pool	ITEM	3	"The axis is found.
the world has cased its motion."
fi	outcome.success.normal.pool	ITEM	4	"The glass held its breath,
and you held your ground."
fi	outcome.success.normal.pool	ITEM	5	"Under the stillness of the sky,
your spirit did not waver."
fi	outcome.success.normal.pool	ITEM	6	"Few things shine forever.
but this moment was radiant."
fi	outcome.success.normal.pool	ITEM	7	"You traversed the fragile earth,
without losing the view."
fi	outcome.success.normal.pool	ITEM	8	"The moment has passed.
The legacy remains."
fi	outcome.success.normal.pool	ITEM	9	"Luck fades fast.
order endures."
fi	outcome.success.normal.pool	ITEM	10	"The sky knows no pause in endless circle,
nor shall you find yours."
fi	outcome.success.normal.pool	ITEM	11	"The center has been reached.
The world stood still."
