lang	pool	index	en_source	translation	note
hi	outcome.success.normal.pool	4	The glass held its breath,\nand you held your ground.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	5	Under the stillness of the sky,\nyour spirit did not waver.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	6	Few things shine forever.\nbut this moment was radiant.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	7	You traversed the fragile earth,\nwithout losing the view.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	8	The moment has passed.\nThe legacy remains.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	9	Luck fades fast.\norder endures.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	10	The sky knows no pause in endless circle,\nnor shall you find yours.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	11	The center has been reached.\nThe world stood still.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	12	Finally here.\nThe truth remains unyielding.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	13	You have seen it through.\nAnd mark this: it was you, and no one else, who chose this path.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	14	Time drifted into silence,\nfinding its place in the recesses of the mind.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	15	As the sky transformed,\nthe tale found its final resolved.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	16	The waters fell calm,\nand the sky once more veiled its abyss.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	17	The footsteps ceased,\nonly the place remained.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	18	Light fell evenly, ,\nand every shadow vanished.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	19	The wind fell silent.\nand everything returned to where it belonged.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	20	A moment of silence.\nThe world steadied its breath.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	21	The record is etched deep in the sand—\nbeyond the reach of the wind.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	22	Harmony was restored.\nEverything had been for this moment.		exact_en_158_full_rebuild
hi	outcome.success.normal.pool	23	RUN COMPLETE.\nClear. Found it.\nThat's enough.		exact_en_158_full_rebuild
