lang	status	key	issues	english_value	current_value
asl_gloss	WARN	command.checkTreasureEmerald.playersOnly	WARN_EQUALS_ENGLISH	Only players can use this command.	ONLY PLAYERS CAN USE THIS COMMAND.
ja	WARN	command.checkTreasureEmerald.resultFalse	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	The item in your hand is not a Treasure Emerald.	手に持っているアイテムは Treasure Emerald ではありません。
ojp	WARN	command.checkTreasureEmerald.resultFalse	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	The item in your hand is not a Treasure Emerald.	手に持てる品は Treasure Emerald にあらず。
ja	WARN	command.checkTreasureEmerald.resultTrue	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	The item in your hand is a Treasure Emerald.	手に持っているアイテムは Treasure Emerald です。
ojp	WARN	command.checkTreasureEmerald.resultTrue	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	The item in your hand is a Treasure Emerald.	手に持てる品は Treasure Emerald なり。
ja	WARN	command.gameStart.started	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	§aTreasure hunt started! Difficulty: {difficulty} | Time limit: {timeLimit} seconds	§a宝探しゲーム開始！ 難易度: {difficulty} | 制限時間: {timeLimit} 秒
ojp	WARN	command.gameStart.started	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	§aTreasure hunt started! Difficulty: {difficulty} | Time limit: {timeLimit} seconds	§a宝探し遊戯、始まりぬ！ 難きほど: {difficulty} | 限りの時: {timeLimit} 秒
ja	WARN	command.gameStart.worldNotFound	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	[TreasureRun] The start world is not configured or could not be found.	[TreasureRun] 開始ワールドが設定されていないか、見つかりませんでした。
ojp	WARN	command.gameStart.worldNotFound	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	[TreasureRun] The start world is not configured or could not be found.	[TreasureRun] 始めの世、定まらず、または見出だされざりき。
ja	WARN	command.lang.allowedList	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	Allowed languages: {allowed}	許可されている言語: {allowed}
ojp	WARN	command.lang.allowedList	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	Allowed languages: {allowed}	許されたる言の葉: {allowed}
ja	WARN	command.lang.changed	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	✅ Language changed: {displayName} ({lang})	✅ 言語を変更しました: {displayName} ({lang})
ojp	WARN	command.lang.changed	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	✅ Language changed: {displayName} ({lang})	✅ 言の葉を改めたり: {displayName} ({lang})
ja	WARN	command.lang.changedButNotSaved	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	⚠ Language changed, but failed to persist it: {lang}	⚠ 言語は変更しましたが、永続保存に失敗しました: {lang}
ojp	WARN	command.lang.changedButNotSaved	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	⚠ Language changed, but failed to persist it: {lang}	⚠ 言の葉は改まりたれど、長き記し置きはかなはざりき: {lang}
ja	WARN	command.lang.current	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	Current language: {lang}	現在の言語: {lang}
ojp	WARN	command.lang.current	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	Current language: {lang}	今の言の葉: {lang}
asl_gloss	WARN	command.lang.current	WARN_EQUALS_ENGLISH	Current language: {lang}	CURRENT LANGUAGE: {lang}
ja	WARN	command.lang.emptyCode	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	Language code is empty. Example: /lang ja	言語コードが空です。例: /lang ja
ojp	WARN	command.lang.emptyCode	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	Language code is empty. Example: /lang ja	言の葉コードが天なり。例: /lang ja
ja	WARN	command.lang.guiCancelledGameMenu	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	Language selection was cancelled. To open it again, run /gameMenu gui.	言語選択をキャンセルしました。もう一度開くには /gameMenu gui を実行してください。
ojp	WARN	command.lang.guiCancelledGameMenu	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	Language selection was cancelled. To open it again, run /gameMenu gui.	言の葉選びを取りやめたり。いま一度開くには /gameMenu gui を実行し給へ。
ja	WARN	command.lang.guiCancelledGameStart	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	Language selection was cancelled. To try again, run /gameStart <easy|normal|hard>.	言語選択をキャンセルしました。再度試すには /gameStart <easy|normal|hard> を実行してください。
ojp	WARN	command.lang.guiCancelledGameStart	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	Language selection was cancelled. To try again, run /gameStart <easy|normal|hard>.	言の葉選びを取りやめたり。再度試すには /gameStart <easy|normal|hard> を実行し給へ。
ja	WARN	command.lang.list.allowed	WARN_EQUALS_ENGLISH|WARN_ROMAN_TEXT_IN_JAPANESE_LANG	allowed: {allowed}	allowed: {allowed}
ojp	WARN	command.lang.list.allowed	WARN_EQUALS_ENGLISH|WARN_ROMAN_TEXT_IN_JAPANESE_LANG	allowed: {allowed}	allowed: {allowed}
asl_gloss	WARN	command.lang.list.allowed	WARN_EQUALS_ENGLISH	allowed: {allowed}	ALLOWED: {allowed}
ja	WARN	command.lang.list.default	WARN_EQUALS_ENGLISH|WARN_ROMAN_TEXT_IN_JAPANESE_LANG	default: {default}	default: {default}
ojp	WARN	command.lang.list.default	WARN_EQUALS_ENGLISH|WARN_ROMAN_TEXT_IN_JAPANESE_LANG	default: {default}	default: {default}
asl_gloss	WARN	command.lang.list.default	WARN_EQUALS_ENGLISH	default: {default}	DEFAULT: {default}
ja	WARN	command.lang.list.gui	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	GUI: /lang or /lang gui	GUI: /lang または /lang gui
ojp	WARN	command.lang.list.gui	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	GUI: /lang or /lang gui	GUI: /lang または /lang gui
asl_gloss	WARN	command.lang.list.gui	WARN_EQUALS_ENGLISH	GUI: /lang or /lang gui	GUI: /lang OR /lang gui
ja	WARN	command.lang.list.usage	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	Usage: /lang <code> Example: /lang ja	使い方: /lang <code> 例: /lang ja
ojp	WARN	command.lang.list.usage	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	Usage: /lang <code> Example: /lang ja	用ゐ方: /lang <code> 例: /lang ja
ja	WARN	command.lang.notAllowed	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	That language is not allowed: {lang}	その言語は許可されていません: {lang}
ojp	WARN	command.lang.notAllowed	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	That language is not allowed: {lang}	その言の葉は許可されず: {lang}
hi	NG	command.noPermission	NG_MISSING_KEY	You do not have permission to use this command.	
lzh	NG	command.noPermission	NG_MISSING_KEY	You do not have permission to use this command.	
pt	NG	command.noPermission	NG_MISSING_KEY	You do not have permission to use this command.	
zh_tw	NG	command.noPermission	NG_MISSING_KEY	You do not have permission to use this command.	
ja	WARN	command.quoteFavorite.help.book	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7/quoteFavorite book [toc|success|timeup|other|full] : open the archive book	&7/quoteFavorite book [toc|success|timeup|other|full] : 図鑑を開く
ojp	WARN	command.quoteFavorite.help.book	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7/quoteFavorite book [toc|success|timeup|other|full] : open the archive book	&7/quoteFavorite book [toc|success|timeup|other|full] : 言の葉の巻を開く
ja	WARN	command.quoteFavorite.help.bookOther	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7other shows only other quotes	&7other はその他の名言だけを表示します
ojp	WARN	command.quoteFavorite.help.bookOther	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7other shows only other quotes	&7other はほかの言の葉のみを示す
ja	WARN	command.quoteFavorite.help.bookSuccess	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7success shows only successful quotes	&7success は成功名言だけを表示します
ojp	WARN	command.quoteFavorite.help.bookSuccess	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7success shows only successful quotes	&7success は成就の言の葉のみを示す
ja	WARN	command.quoteFavorite.help.bookTimeup	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7timeup shows only time-up quotes	&7timeup は時間切れ名言だけを表示します
ojp	WARN	command.quoteFavorite.help.bookTimeup	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7timeup shows only time-up quotes	&7timeup は時尽きぬ折の言の葉のみを示す
ja	WARN	command.quoteFavorite.help.latest	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7/quoteFavorite latest : save the latest quote to Favorites	&7/quoteFavorite latest : 最新の名言をお気に入り保存
ojp	WARN	command.quoteFavorite.help.latest	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7/quoteFavorite latest : save the latest quote to Favorites	&7/quoteFavorite latest : 直近の言の葉を秘蔵に記し置く
ja	WARN	command.quoteFavorite.help.list	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7/quoteFavorite list : show Favorites	&7/quoteFavorite list : お気に入り一覧を表示
ojp	WARN	command.quoteFavorite.help.list	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7/quoteFavorite list : show Favorites	&7/quoteFavorite list : 秘蔵の目録を示す
ja	WARN	command.quoteFavorite.help.remove	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7/quoteFavorite remove <id> : remove a favorite	&7/quoteFavorite remove <id> : お気に入りを削除
ojp	WARN	command.quoteFavorite.help.remove	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7/quoteFavorite remove <id> : remove a favorite	&7/quoteFavorite remove <id> : 秘蔵を消し改む
ja	WARN	command.quoteFavorite.help.reread	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7/quoteFavorite reread [chat|title|book] : reread a quote	&7/quoteFavorite reread [chat|title|book] : 名言を再読
ojp	WARN	command.quoteFavorite.help.reread	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7/quoteFavorite reread [chat|title|book] : reread a quote	&7/quoteFavorite reread [chat|title|book] : 言の葉を再読
ja	WARN	command.quoteFavorite.help.rereadBook	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7book rereads using a written book	&7book は本形式で再読します
ojp	WARN	command.quoteFavorite.help.rereadBook	WARN_ROMAN_TEXT_IN_JAPANESE_LANG	&7book rereads using a written book	&7book は巻の形にて言の葉を再び示す
