lang	key	expected	written	backup
asl_gloss	success.easy	17	17	src/main/resources/languages/asl_gloss.yml.outcome158fix_20260425_142652
asl_gloss	success.normal	35	35	src/main/resources/languages/asl_gloss.yml.outcome158fix_20260425_142652
asl_gloss	success.hard	32	32	src/main/resources/languages/asl_gloss.yml.outcome158fix_20260425_142652
asl_gloss	timeup.easy	16	16	src/main/resources/languages/asl_gloss.yml.outcome158fix_20260425_142652
asl_gloss	timeup.normal	20	20	src/main/resources/languages/asl_gloss.yml.outcome158fix_20260425_142652
asl_gloss	timeup.hard	38	38	src/main/resources/languages/asl_gloss.yml.outcome158fix_20260425_142652
de	success.easy	17	17	src/main/resources/languages/de.yml.outcome158fix_20260425_142652
de	success.normal	35	35	src/main/resources/languages/de.yml.outcome158fix_20260425_142652
de	success.hard	32	32	src/main/resources/languages/de.yml.outcome158fix_20260425_142652
de	timeup.easy	16	16	src/main/resources/languages/de.yml.outcome158fix_20260425_142652
de	timeup.normal	20	20	src/main/resources/languages/de.yml.outcome158fix_20260425_142652
de	timeup.hard	38	38	src/main/resources/languages/de.yml.outcome158fix_20260425_142652
en	success.easy	17	17	src/main/resources/languages/en.yml.outcome158fix_20260425_142652
en	success.normal	35	35	src/main/resources/languages/en.yml.outcome158fix_20260425_142652
en	success.hard	32	32	src/main/resources/languages/en.yml.outcome158fix_20260425_142652
en	timeup.easy	16	16	src/main/resources/languages/en.yml.outcome158fix_20260425_142652
en	timeup.normal	20	20	src/main/resources/languages/en.yml.outcome158fix_20260425_142652
en	timeup.hard	38	38	src/main/resources/languages/en.yml.outcome158fix_20260425_142652
es	success.easy	17	17	src/main/resources/languages/es.yml.outcome158fix_20260425_142652
es	success.normal	35	35	src/main/resources/languages/es.yml.outcome158fix_20260425_142652
es	success.hard	32	32	src/main/resources/languages/es.yml.outcome158fix_20260425_142652
es	timeup.easy	16	16	src/main/resources/languages/es.yml.outcome158fix_20260425_142652
es	timeup.normal	20	20	src/main/resources/languages/es.yml.outcome158fix_20260425_142652
es	timeup.hard	38	38	src/main/resources/languages/es.yml.outcome158fix_20260425_142652
fi	success.easy	17	17	src/main/resources/languages/fi.yml.outcome158fix_20260425_142653
fi	success.normal	35	35	src/main/resources/languages/fi.yml.outcome158fix_20260425_142653
fi	success.hard	32	32	src/main/resources/languages/fi.yml.outcome158fix_20260425_142653
fi	timeup.easy	16	16	src/main/resources/languages/fi.yml.outcome158fix_20260425_142653
fi	timeup.normal	20	20	src/main/resources/languages/fi.yml.outcome158fix_20260425_142653
fi	timeup.hard	38	38	src/main/resources/languages/fi.yml.outcome158fix_20260425_142653
fr	success.easy	17	17	src/main/resources/languages/fr.yml.outcome158fix_20260425_142653
fr	success.normal	35	35	src/main/resources/languages/fr.yml.outcome158fix_20260425_142653
fr	success.hard	32	32	src/main/resources/languages/fr.yml.outcome158fix_20260425_142653
fr	timeup.easy	16	16	src/main/resources/languages/fr.yml.outcome158fix_20260425_142653
fr	timeup.normal	20	20	src/main/resources/languages/fr.yml.outcome158fix_20260425_142653
fr	timeup.hard	38	38	src/main/resources/languages/fr.yml.outcome158fix_20260425_142653
hi	success.easy	17	17	src/main/resources/languages/hi.yml.outcome158fix_20260425_142653
hi	success.normal	35	35	src/main/resources/languages/hi.yml.outcome158fix_20260425_142653
hi	success.hard	32	32	src/main/resources/languages/hi.yml.outcome158fix_20260425_142653
hi	timeup.easy	16	16	src/main/resources/languages/hi.yml.outcome158fix_20260425_142653
hi	timeup.normal	20	20	src/main/resources/languages/hi.yml.outcome158fix_20260425_142653
hi	timeup.hard	38	38	src/main/resources/languages/hi.yml.outcome158fix_20260425_142653
is	success.easy	17	17	src/main/resources/languages/is.yml.outcome158fix_20260425_142653
is	success.normal	35	35	src/main/resources/languages/is.yml.outcome158fix_20260425_142653
is	success.hard	32	32	src/main/resources/languages/is.yml.outcome158fix_20260425_142653
is	timeup.easy	16	16	src/main/resources/languages/is.yml.outcome158fix_20260425_142653
is	timeup.normal	20	20	src/main/resources/languages/is.yml.outcome158fix_20260425_142653
is	timeup.hard	38	38	src/main/resources/languages/is.yml.outcome158fix_20260425_142653
it	success.easy	17	17	src/main/resources/languages/it.yml.outcome158fix_20260425_142653
it	success.normal	35	35	src/main/resources/languages/it.yml.outcome158fix_20260425_142653
it	success.hard	32	32	src/main/resources/languages/it.yml.outcome158fix_20260425_142653
it	timeup.easy	16	16	src/main/resources/languages/it.yml.outcome158fix_20260425_142653
it	timeup.normal	20	20	src/main/resources/languages/it.yml.outcome158fix_20260425_142653
it	timeup.hard	38	38	src/main/resources/languages/it.yml.outcome158fix_20260425_142653
ja	success.easy	17	17	src/main/resources/languages/ja.yml.outcome158fix_20260425_142653
ja	success.normal	35	35	src/main/resources/languages/ja.yml.outcome158fix_20260425_142653
ja	success.hard	32	32	src/main/resources/languages/ja.yml.outcome158fix_20260425_142653
