lang	total	exact_en	empty	count_mismatch	script_warning	english_like	priority_score	result
ko	158	158	0	0	158	153	2523	NEEDS_NATIVE_REVIEW
lzh	158	158	0	0	158	153	2523	NEEDS_NATIVE_REVIEW
ru	158	158	0	0	158	153	2523	NEEDS_NATIVE_REVIEW
sa	158	158	0	0	158	153	2523	NEEDS_NATIVE_REVIEW
zh_tw	158	158	0	0	158	153	2523	NEEDS_NATIVE_REVIEW
asl_gloss	158	158	0	0	0	153	1733	NEEDS_NATIVE_REVIEW
es	158	158	0	0	0	153	1733	NEEDS_NATIVE_REVIEW
fi	158	158	0	0	0	153	1733	NEEDS_NATIVE_REVIEW
fr	158	158	0	0	0	153	1733	NEEDS_NATIVE_REVIEW
is	158	158	0	0	0	153	1733	NEEDS_NATIVE_REVIEW
it	158	158	0	0	0	153	1733	NEEDS_NATIVE_REVIEW
la	158	158	0	0	0	153	1733	NEEDS_NATIVE_REVIEW
nl	158	158	0	0	0	153	1733	NEEDS_NATIVE_REVIEW
ja	158	0	0	0	0	0	0	OK
