lang	pool	kind	meta	value
asl_gloss	outcome.success.easy.pool	COUNT	17	
asl_gloss	outcome.success.easy.pool	EXACT_MATCH_EN	1	"You’ve made it.
The truth remains."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	1	"You’ve made it.
The truth remains."
asl_gloss	outcome.success.easy.pool	EXACT_MATCH_EN	2	"Even if it was only a small step,
you held your ground."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	2	"Even if it was only a small step,
you held your ground."
asl_gloss	outcome.success.easy.pool	EXACT_MATCH_EN	3	"You listened.
 The path opened."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	3	"You listened.
 The path opened."
asl_gloss	outcome.success.easy.pool	EXACT_MATCH_EN	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
asl_gloss	outcome.success.easy.pool	EXACT_MATCH_EN	5	"> Distance became meaning.
> 
> and time answered your footsteps."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	5	"> Distance became meaning.
> 
> and time answered your footsteps."
asl_gloss	outcome.success.easy.pool	EXACT_MATCH_EN	6	"> Not everything shines forever.
> 
> But this moment did."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	6	"> Not everything shines forever.
> 
> But this moment did."
asl_gloss	outcome.success.easy.pool	EXACT_MATCH_EN	7	"Light fell evenly, ,
and every shadow vanished."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	7	"Light fell evenly, ,
and every shadow vanished."
asl_gloss	outcome.success.easy.pool	EXACT_MATCH_EN	8	"The wind fell silent.
and everything returned to where it belonged."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	8	"The wind fell silent.
and everything returned to where it belonged."
asl_gloss	outcome.success.easy.pool	EXACT_MATCH_EN	9	"A moment of silence.
The world steadied its breath."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	9	"A moment of silence.
The world steadied its breath."
asl_gloss	outcome.success.easy.pool	EXACT_MATCH_EN	10	"The record is etched deep in the sand—
beyond the reach of the wind."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	10	"The record is etched deep in the sand—
beyond the reach of the wind."
asl_gloss	outcome.success.easy.pool	EXACT_MATCH_EN	11	"Harmony was restored.
Everything had been for this moment."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	11	"Harmony was restored.
Everything had been for this moment."
asl_gloss	outcome.success.easy.pool	EXACT_MATCH_EN	12	"Time slipped by in silence,
tucked away in the corners of memory."
asl_gloss	outcome.success.easy.pool	ENGLISH_LIKE	12	"Time slipped by in silence,
tucked away in the corners of memory."
