lang	pool	kind	meta	value
sa	outcome.success.easy.pool	COUNT	17	17
sa	outcome.success.easy.pool	ITEM	1	"You’ve made it.
The truth remains."
sa	outcome.success.easy.pool	ITEM	2	"Even if it was only a small step,
you held your ground."
sa	outcome.success.easy.pool	ITEM	3	"You listened.
 The path opened."
sa	outcome.success.easy.pool	ITEM	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."
sa	outcome.success.easy.pool	ITEM	5	"> Distance became meaning.
> 
> and time answered your footsteps."
sa	outcome.success.easy.pool	ITEM	6	"> Not everything shines forever.
> 
> But this moment did."
sa	outcome.success.easy.pool	ITEM	7	"Light fell evenly, ,
and every shadow vanished."
sa	outcome.success.easy.pool	ITEM	8	"The wind fell silent.
and everything returned to where it belonged."
sa	outcome.success.easy.pool	ITEM	9	"A moment of silence.
The world steadied its breath."
sa	outcome.success.easy.pool	ITEM	10	"The record is etched deep in the sand—
beyond the reach of the wind."
sa	outcome.success.easy.pool	ITEM	11	"Harmony was restored.
Everything had been for this moment."
sa	outcome.success.easy.pool	ITEM	12	"Time slipped by in silence,
tucked away in the corners of memory."
sa	outcome.success.easy.pool	ITEM	13	"The sky shifted in color,
and one story came to its end."
sa	outcome.success.easy.pool	ITEM	14	"The waves grew calm,
and the sea hid its depths once more."
sa	outcome.success.easy.pool	ITEM	15	"The footsteps stopped,
and only the place remained."
sa	outcome.success.easy.pool	ITEM	16	"Victory and defeat 
are nothing more than grains of sand."
sa	outcome.success.easy.pool	ITEM	17	"The road goes on—or it ends.
Either way, it lies on the same earth."
sa	outcome.success.normal.pool	COUNT	35	35
sa	outcome.success.normal.pool	ITEM	1	"The distance has found its meaning.
Time has rewarded your journey."
sa	outcome.success.normal.pool	ITEM	2	"The time is up.
but the rest is far from over."
sa	outcome.success.normal.pool	ITEM	3	"The axis is found.
the world has cased its motion."
sa	outcome.success.normal.pool	ITEM	4	"The glass held its breath,
and you held your ground."
sa	outcome.success.normal.pool	ITEM	5	"Under the stillness of the sky,
your spirit did not waver."
sa	outcome.success.normal.pool	ITEM	6	"Few things shine forever.
but this moment was radiant."
sa	outcome.success.normal.pool	ITEM	7	"You traversed the fragile earth,
without losing the view."
sa	outcome.success.normal.pool	ITEM	8	"The moment has passed.
The legacy remains."
sa	outcome.success.normal.pool	ITEM	9	"Luck fades fast.
order endures."
sa	outcome.success.normal.pool	ITEM	10	"The sky knows no pause in endless circle,
nor shall you find yours."
sa	outcome.success.normal.pool	ITEM	11	"The center has been reached.
The world stood still."
sa	outcome.success.normal.pool	ITEM	12	"Finally here.
The truth remains unyielding."
sa	outcome.success.normal.pool	ITEM	13	"You have seen it through.
And mark this: it was you, and no one else, who chose this path."
sa	outcome.success.normal.pool	ITEM	14	"Time drifted into silence,
finding its place in the recesses of the mind."
sa	outcome.success.normal.pool	ITEM	15	"As the sky transformed,
the tale found its final resolved."
sa	outcome.success.normal.pool	ITEM	16	"The waters fell calm,
and the sky once more veiled its abyss."
sa	outcome.success.normal.pool	ITEM	17	"The footsteps ceased,
only the place remained."
sa	outcome.success.normal.pool	ITEM	18	"Light fell evenly, ,
and every shadow vanished."
sa	outcome.success.normal.pool	ITEM	19	"The wind fell silent.
and everything returned to where it belonged."
sa	outcome.success.normal.pool	ITEM	20	"A moment of silence.
The world steadied its breath."
sa	outcome.success.normal.pool	ITEM	21	"The record is etched deep in the sand—
beyond the reach of the wind."
sa	outcome.success.normal.pool	ITEM	22	"Harmony was restored.
Everything had been for this moment."
sa	outcome.success.normal.pool	ITEM	23	"RUN COMPLETE.
Clear. Found it.
That's enough."
sa	outcome.success.normal.pool	ITEM	24	"RUN COMPLETE.
The path held.
So did you."
sa	outcome.success.normal.pool	ITEM	25	"The sky has kept moving.
So can you."
sa	outcome.success.normal.pool	ITEM	26	"RUN COMPLETE.
A quiet result.
The weight of real work."
sa	outcome.success.normal.pool	ITEM	27	"You only walked the path
the world had laid out for you."
sa	outcome.success.normal.pool	ITEM	28	"The ground didn’t give way.
It trusted your steps."
sa	outcome.success.normal.pool	ITEM	29	"This moment aligned
with the stars’ ancient rhythm."
sa	outcome.success.normal.pool	ITEM	30	"You didn’t take anything.
 You understood something."
sa	outcome.success.normal.pool	ITEM	31	"You didn’t gain a thing.
You only saw the truth for what it was."
sa	outcome.success.normal.pool	ITEM	32	"You didn’t take this place.
You belonged here."
sa	outcome.success.normal.pool	ITEM	33	"You walked a road
older than memory itself."
sa	outcome.success.normal.pool	ITEM	34	"The earth did not resist.
It recognized you."
sa	outcome.success.normal.pool	ITEM	35	"This moment aligned
 with the stillness of the stars."
sa	outcome.success.hard.pool	COUNT	32	32
sa	outcome.success.hard.pool	ITEM	1	"In the north wind,
clarity outlasts speed."
sa	outcome.success.hard.pool	ITEM	2	"The center was found.
 The world came to rest."
sa	outcome.success.hard.pool	ITEM	3	"The stars stay silent.
Your record does the speaking."
sa	outcome.success.hard.pool	ITEM	4	"The result  remained.
The position changed."
sa	outcome.success.hard.pool	ITEM	5	"Between ice and glass,
you chose control."
sa	outcome.success.hard.pool	ITEM	6	"The waves fell quiet,
and the sea reclaimed its hidden depths."
sa	outcome.success.hard.pool	ITEM	7	"Some treasures still await.
Next time, a different path."
sa	outcome.success.hard.pool	ITEM	8	"The sky didn’t change.
You did."
sa	outcome.success.hard.pool	ITEM	9	"The moment passed.
What remained was order."
sa	outcome.success.hard.pool	ITEM	10	"Winter is honest.
So was your run."
sa	outcome.success.hard.pool	ITEM	11	"The stars aligned for a moment.
You noticed."
sa	outcome.success.hard.pool	ITEM	12	"The distance closed.
Time did not."
sa	outcome.success.hard.pool	ITEM	13	"The world’s rules stood firm.
 And the signal of possibility was real."
sa	outcome.success.hard.pool	ITEM	14	"The path closed quietly.
You were already through."
sa	outcome.success.hard.pool	ITEM	15	"Nothing changed.
Only your position did."
sa	outcome.success.hard.pool	ITEM	16	"Not luck.
Alignment."
sa	outcome.success.hard.pool	ITEM	17	"The moment passed.
The record remains."
sa	outcome.success.hard.pool	ITEM	18	"The outcome didn’t change.
Still, you moved forward."
sa	outcome.success.hard.pool	ITEM	19	"The output didn’t change.
But you reached a new level."
sa	outcome.success.hard.pool	ITEM	20	"The ending was the same.
But the one who reached it had changed."
sa	outcome.success.hard.pool	ITEM	21	"The destination is the same
—but you’re no longer the traveler you once were."
sa	outcome.success.hard.pool	ITEM	22	"Light fell evenly, ,
and every shadow vanished."
sa	outcome.success.hard.pool	ITEM	23	"The wind fell silent.
and everything returned to where it belonged."
sa	outcome.success.hard.pool	ITEM	24	"A moment of silence.
The world steadied its breath."
sa	outcome.success.hard.pool	ITEM	25	"The record is etched deep in the sand—
beyond the reach of the wind."
sa	outcome.success.hard.pool	ITEM	26	"Harmony was restored.
Everything had been for this moment."
sa	outcome.success.hard.pool	ITEM	27	"Time slipped by in silence,
tucked away in the corners of memory."
sa	outcome.success.hard.pool	ITEM	28	"The sky shifted in color,
and one story came to its end."
sa	outcome.success.hard.pool	ITEM	29	"The waves grew calm,
and the sea hid its depths once more."
sa	outcome.success.hard.pool	ITEM	30	"The footsteps stopped,
and only the place remained."
sa	outcome.success.hard.pool	ITEM	31	"Victory and defeat 
are nothing more than grains of sand."
sa	outcome.success.hard.pool	ITEM	32	"The road goes on—or it ends.
Either way, it lies on the same earth."
sa	outcome.timeup.easy.pool	COUNT	16	16
sa	outcome.timeup.easy.pool	ITEM	1	"Time ran out.
Nothing else did."
sa	outcome.timeup.easy.pool	ITEM	2	"The treasure can wait.
So can you."
sa	outcome.timeup.easy.pool	ITEM	3	"Breathe in.
Then again."
sa	outcome.timeup.easy.pool	ITEM	4	"That’s all for now.
On to the next step."
sa	outcome.timeup.easy.pool	ITEM	5	"You're still here.
That’s what matters."
sa	outcome.timeup.easy.pool	ITEM	6	"The run ended.
You didn’t."
sa	outcome.timeup.easy.pool	ITEM	7	"TIME'S UP.
The run ended.
You didn't."
sa	outcome.timeup.easy.pool	ITEM	8	"TIME'S UP.
The rules don’t change.
Again."
sa	outcome.timeup.easy.pool	ITEM	9	"TIME'S UP.
“So close” is real."
sa	outcome.timeup.easy.pool	ITEM	10	"The sun sank,
and shadow covered the world once again."
sa	outcome.timeup.easy.pool	ITEM	11	"The last grains of sand fell,
and the story quietly came to a close."
sa	outcome.timeup.easy.pool	ITEM	12	"The wind swept through,
and the footprints vanished without a trace."
sa	outcome.timeup.easy.pool	ITEM	13	"The tide came in,
What once had been there returned to the sea."
sa	outcome.timeup.easy.pool	ITEM	14	"Silence.
Only time passed through."
