global_no	section	difficulty	local_no	text
1	success	easy	1	Du hast es geschafft.\nDie Wahrheit bleibt bestehen.
2	success	easy	2	Auch ein kleiner Schritt zählt,\nund du hast standgehalten.
3	success	easy	3	Du hast hingehört.\nDer Weg hat sich geöffnet.
4	success	easy	4	> Du bist hier angekommen.\n> \n> Die Regeln waren einfach —\n> \n> doch entschieden hast du selbst.
5	success	easy	5	> Entfernung bekam Bedeutung.\n> \n> und die Zeit antwortete auf deine Schritte.
6	success	easy	6	> Nicht alles leuchtet für immer.\n> \n> Doch dieser Moment tat es.
7	success	easy	7	Das Licht fiel gleichmäßig,\nund jeder Schatten verschwand.
8	success	easy	8	Der Wind verstummte,\nund alles kehrte an seinen angestammten Platz zurück.
9	success	easy	9	Ein Augenblick der Stille.\nDie Welt fand zu ihrem Atem zurück.
10	success	easy	10	Die Spur ist tief in den Sand gezeichnet —\naußer Reichweite des Windes.
11	success	easy	11	Die Harmonie kehrte zurück.\nAlles lief auf diesen Moment hinaus.
12	success	easy	12	Die Zeit verstrich lautlos,\nverwahrt in den Winkeln der Erinnerung.
13	success	easy	13	Der Himmel wechselte die Farbe,\nund eine Geschichte fand ihr Ende.
14	success	easy	14	Die Wellen wurden ruhig,\nund das Meer verbarg wieder seine Tiefe.
15	success	easy	15	Die Schritte verstummten,\nund nur der Ort blieb zurück.
16	success	easy	16	Sieg und Niederlage\nsind kaum mehr als Körner im Sand.
17	success	easy	17	Der Weg führt weiter — oder endet.\nSo oder so ruht er auf derselben Erde.
18	success	normal	1	Die Entfernung hat ihren Sinn gefunden.\nDie Zeit hat deinen Weg beantwortet.
19	success	normal	2	Die Zeit ist abgelaufen.\nDoch noch ist nicht alles vorbei.
20	success	normal	3	Die Achse ist gefunden.\nDie Welt hat ihre Bewegung eingestellt.
21	success	normal	4	Das Glas hielt stand,\nund du ebenso.
22	success	normal	5	Unter dem stillen Himmel\nblieb dein Wille unerschüttert.
23	success	normal	6	Nur wenig leuchtet für immer.\nDoch dieser Moment strahlte.
24	success	normal	7	Du hast den zerbrechlichen Boden durchquert,\nohne den Blick zu verlieren.
25	success	normal	8	Der Augenblick ist vergangen.\nDoch was bleibt, bleibt.
26	success	normal	9	Glück vergeht schnell.\nOrdnung bleibt.
27	success	normal	10	Der Himmel kennt keine Pause in seinem endlosen Kreis,\nund auch du kanntest keine.
28	success	normal	11	Das Zentrum ist erreicht.\nDie Welt stand still.
29	success	normal	12	Endlich hier.\nDie Wahrheit bleibt unbeugsam.
30	success	normal	13	Du hast es bis hierher geschafft.\nUnd vergiss nicht: Diesen Weg hast du selbst gewählt.
31	success	normal	14	Die Zeit glitt in die Stille\nund fand ihren Platz in den Tiefen des Geistes.
32	success	normal	15	Als der Himmel sich wandelte,\nfand die Geschichte zu ihrem endgültigen Abschluss.
33	success	normal	16	Das Wasser wurde still,\nund der Himmel verhüllte erneut seinen Abgrund.
