lang	done_flag	priority_score	total	empty	count_mismatch	english_like	ascii_like
es	NOT_DONE_OR_NEEDS_CHECK	1552	158	0	0	154	4
fi	NOT_DONE_OR_NEEDS_CHECK	1552	158	0	0	154	4
fr	NOT_DONE_OR_NEEDS_CHECK	1552	158	0	0	154	4
is	NOT_DONE_OR_NEEDS_CHECK	1552	158	0	0	154	4
it	NOT_DONE_OR_NEEDS_CHECK	1552	158	0	0	154	4
nl	NOT_DONE_OR_NEEDS_CHECK	1552	158	0	0	154	4
asl_gloss	NOT_DONE_OR_NEEDS_CHECK	1540	158	0	0	154	0
de	DONE_RECENTLY	558	158	0	0	12	146
sv	DONE_RECENTLY	502	158	0	0	4	154
pt	DONE_RECENTLY	474	158	0	0	0	158
en	DONE_RECENTLY	0	158	0	0	0	0
hi	DONE_RECENTLY	0	158	0	0	0	0
ja	DONE_RECENTLY	0	158	0	0	0	0
ko	DONE_RECENTLY	0	158	0	0	0	0
la	DONE_RECENTLY	0	158	0	0	0	0
lzh	DONE_RECENTLY	0	158	0	0	0	0
ru	DONE_RECENTLY	0	158	0	0	0	0
sa	DONE_RECENTLY	0	158	0	0	0	0
zh_tw	DONE_RECENTLY	0	158	0	0	0	0
