lang	pool	kind	meta	value
nl	outcome.success.easy.pool	COUNT	17	17
nl	outcome.success.normal.pool	COUNT	35	35
nl	outcome.success.normal.pool	DUTCH_HINT_MISSING	9	"Geluk vervaagt snel.
Orde houdt stand."
nl	outcome.success.hard.pool	COUNT	32	32
nl	outcome.success.hard.pool	DUTCH_HINT_MISSING	15	"Wat bevroren leek,
bleek alleen te wachten."
nl	outcome.timeup.easy.pool	COUNT	16	16
nl	outcome.timeup.normal.pool	COUNT	20	20
nl	outcome.timeup.hard.pool	COUNT	38	38
nl	outcome.timeup.hard.pool	DUTCH_HINT_MISSING	31	"Wat vandaag brak,
kan morgen structuur worden."
nl	outcome.timeup.hard.pool	DUTCH_HINT_MISSING	37	"Vandaag was geen overwinning.
Maar ook geen leegte."
