lang	pool	index	old	new
asl_gloss	outcome.success.easy.pool	1	"You’ve made it.
The truth remains."	"YOU FINISH.
TRUTH STAY."
asl_gloss	outcome.success.easy.pool	2	"Even if it was only a small step,
you held your ground."	"SMALL STEP, OK.
YOU STAND STRONG."
asl_gloss	outcome.success.easy.pool	3	"You listened.
 The path opened."	"YOU LISTEN.
PATH OPEN."
asl_gloss	outcome.success.easy.pool	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."	"> YOU ARRIVE HERE.
>
> RULE SIMPLE —
>
> CHOICE YOURS."
asl_gloss	outcome.success.easy.pool	5	"> Distance became meaning.
> 
> and time answered your footsteps."	"> DISTANCE BECOME MEANING.
>
> TIME ANSWER YOUR FOOTSTEP."
asl_gloss	outcome.success.easy.pool	6	"> Not everything shines forever.
> 
> But this moment did."	"> EVERYTHING SHINE FOREVER? NO.
>
> THIS MOMENT SHINE."
asl_gloss	outcome.success.easy.pool	7	"Light fell evenly, ,
and every shadow vanished."	"LIGHT FALL SOFT.
SHADOW DISAPPEAR."
asl_gloss	outcome.success.easy.pool	8	"The wind fell silent.
and everything returned to where it belonged."	"WIND QUIET.
EVERYTHING RETURN PLACE."
asl_gloss	outcome.success.easy.pool	9	"A moment of silence.
The world steadied its breath."	"SILENCE MOMENT.
WORLD BREATHE AGAIN."
asl_gloss	outcome.success.easy.pool	10	"The record is etched deep in the sand—
beyond the reach of the wind."	"TRACK DEEP IN SAND —
WIND CANNOT REACH."
asl_gloss	outcome.success.easy.pool	11	"Harmony was restored.
Everything had been for this moment."	"BALANCE RETURN.
EVERYTHING LEAD THIS MOMENT."
asl_gloss	outcome.success.easy.pool	12	"Time slipped by in silence,
tucked away in the corners of memory."	"TIME PASS QUIET.
MEMORY CORNER KEEP."
asl_gloss	outcome.success.easy.pool	13	"The sky shifted in color,
and one story came to its end."	"SKY COLOR CHANGE.
ONE STORY END."
asl_gloss	outcome.success.easy.pool	14	"The waves grew calm,
and the sea hid its depths once more."	"WAVE CALM.
SEA HIDE DEPTH AGAIN."
asl_gloss	outcome.success.easy.pool	15	"The footsteps stopped,
and only the place remained."	"FOOTSTEP STOP.
PLACE ONLY REMAIN."
asl_gloss	outcome.success.easy.pool	16	"Victory and defeat 
are nothing more than grains of sand."	"VICTORY, DEFEAT —
FINALLY SAND GRAIN ONLY."
asl_gloss	outcome.success.easy.pool	17	"The road goes on—or it ends.
Either way, it lies on the same earth."	"ROAD CONTINUE — OR END HERE.
SAME EARTH SUPPORT."
asl_gloss	outcome.success.normal.pool	1	"The distance has found its meaning.
Time has rewarded your journey."	"DISTANCE FINALLY MEANING.
TIME ANSWER YOUR JOURNEY."
asl_gloss	outcome.success.normal.pool	2	"The time is up.
but the rest is far from over."	"TIME UP.
BUT EVERYTHING END? NO."
asl_gloss	outcome.success.normal.pool	3	"The axis is found.
the world has cased its motion."	"AXIS FOUND.
WORLD HOLD MOVEMENT."
asl_gloss	outcome.success.normal.pool	4	"The glass held its breath,
and you held your ground."	"GLASS HOLD BREATH.
YOU STAND STRONG."
asl_gloss	outcome.success.normal.pool	5	"Under the stillness of the sky,
your spirit did not waver."	"UNDER QUIET SKY,
YOUR SPIRIT NOT SHAKE."
asl_gloss	outcome.success.normal.pool	6	"Few things shine forever.
but this moment was radiant."	"FEW THINGS SHINE FOREVER.
THIS MOMENT YES."
asl_gloss	outcome.success.normal.pool	7	"You traversed the fragile earth,
without losing the view."	"YOU CROSS FRAGILE EARTH.
HORIZON NOT LOSE."
asl_gloss	outcome.success.normal.pool	8	"The moment has passed.
The legacy remains."	"MOMENT PAST.
WHAT REMAIN, REMAIN."
asl_gloss	outcome.success.normal.pool	9	"Luck fades fast.
order endures."	"LUCK FADE FAST.
ORDER STAY."
